,xShift,crossingAngle,negCross,axialRotation,negRot,zShift,density,interface
0,8.9502,37.2171,true,75.2266,true,0.7533,1.0,000110011001100110000
1,8.825,37.9231,true,95.9178,true,0.9918,0.86,000110111011101100000
2,8.2545,44.9373,true,74.172,true,0.7272,0.95,000110011001100110000
3,8.9895,39.2487,true,86.9382,true,0.0,0.81,000110011001100110000
4,8.0,35.0,true,71.7542,true,4.2726,0.99,000110011001100110000
5,8.1441,40.071,true,72.3286,true,3.7859,0.99,000110011001100110000
6,8.9075,41.8663,true,64.0933,true,3.2085,1.0,000110011001100110000
7,8.4178,44.3276,true,99.8183,true,5.3499,0.9,000110111011101100000
8,8.0371,36.7594,true,65.333,true,0.2964,0.83,000110011001100110000
9,9.0,41.0311,true,89.7984,true,3.892,1.0,000110011001100110000
10,8.5092,38.6677,true,84.8099,true,1.9828,1.0,000110011001100110000
11,8.6586,39.2261,true,88.0555,true,5.7425,0.81,000110011001100110000
12,8.0,39.0858,true,55.241,true,0.5959,0.82,000110011001100110000
13,8.7103,35.0,true,59.2853,true,3.1018,0.99,000110011001100110000
14,8.0,35.0,true,73.5209,true,4.8217,1.0,000110011001100110000
15,8.6753,42.6577,true,90.972,true,2.5065,0.95,000110111011101100000
16,8.3399,39.4566,true,54.8719,true,4.6523,1.0,000110011001100110000
17,8.6179,36.5981,true,86.1677,true,4.9293,1.0,000110011001100110000
18,8.6704,40.7644,true,53.561,true,5.6381,0.99,000110011001100110000
19,8.4103,36.2031,true,75.0406,true,3.7364,1.0,000110011001100110000
20,8.943,43.0003,true,46.1025,true,0.7044,0.95,000110011001100110000
21,8.6446,35.2473,true,53.7759,true,4.1789,0.98,000110011001100110000
22,8.1905,44.7885,true,65.8572,true,2.9576,1.0,000110011001100110000
23,8.7038,44.9284,true,78.9779,true,2.0143,1.0,000110011001100110000
24,9.0,41.8876,true,61.7228,true,3.0914,1.0,000110011001100110000
25,8.5976,44.9887,true,43.5917,true,4.5477,0.86,000110011001100110000
26,9.0,42.7423,true,88.1982,true,4.4815,0.98,000110011001100110000
27,8.1817,35.7487,true,81.179,true,0.7609,0.98,000110011001100110000
28,9.0,35.9102,true,49.4733,true,2.1868,0.94,000110011001100110000
29,8.888,35.0,true,87.755,true,4.6243,1.0,000110011001100110000
30,8.9614,45.0,true,46.4891,true,2.3921,0.82,000110011001100110000
31,8.0,38.0921,true,71.0849,true,1.3157,0.99,000110011001100110000
32,8.0408,45.0,true,49.4892,true,2.5776,0.92,000110011001100110000
33,8.6154,45.0,true,79.5648,true,2.3648,1.0,000110011001100110000
34,8.0,36.0456,true,85.6714,true,1.1942,0.9,000110011001100110000
35,8.5356,37.7759,true,69.3811,true,3.0182,1.0,000110011001100110000
36,9.0,45.0,true,86.4847,true,1.5582,1.0,000110011001100110000
37,8.9257,38.3825,true,65.3112,true,1.4607,1.0,000110011001100110000
38,9.0,39.3185,true,87.2704,true,0.5889,0.98,000110011001100110000
39,8.0,43.4845,true,50.1484,true,4.8966,1.0,000110011001100110000
40,8.5508,41.5145,true,68.2933,true,4.2626,1.0,000110011001100110000
41,8.9627,40.2103,true,88.4471,true,1.1694,1.0,000110011001100110000
42,8.0,40.8284,true,83.8068,true,4.4503,1.0,000110011001100110000
43,8.8764,41.0855,true,60.288,true,2.747,1.0,000110011001100110000
44,8.8335,45.0,true,78.2105,true,3.2654,1.0,000110011001100110000
45,8.1158,35.0,true,67.773,true,1.8745,0.94,000110011001100110000
46,8.9567,42.0821,true,74.2471,true,0.5796,1.0,000110011001100110000
47,8.1357,41.4681,true,67.948,true,0.0,0.94,000110011001100110000
48,8.17,37.23,true,69.7553,true,4.0035,0.94,000110011001100110000
49,8.8018,35.7348,true,52.7306,true,3.6564,1.0,000110011001100110000
50,8.5689,35.0,true,60.2513,true,5.0389,0.99,000110011001100110000
51,8.637,42.1354,true,74.0423,true,0.2977,0.98,000110011001100110000
52,8.0,38.594,true,54.8984,true,1.4955,0.95,000110011001100110000
53,8.5755,43.6123,true,66.4087,true,2.0409,1.0,000110011001100110000
54,8.623,36.5054,true,87.0732,true,4.6592,1.0,000110011001100110000
55,8.6806,35.0537,true,71.3307,true,0.9514,0.99,000110011001100110000
56,8.0206,35.2228,true,92.5277,true,2.3995,0.94,000110111011101100000
57,8.9434,38.3343,true,69.4208,true,2.2071,1.0,000110011001100110000
58,8.8693,38.6487,true,84.6413,true,1.8166,1.0,000110011001100110000
59,8.3274,42.1487,true,58.3997,true,2.2563,1.0,000110011001100110000
60,8.1418,35.0,true,61.6895,true,3.5807,1.0,000110011001100110000
61,8.9645,39.8731,true,59.8697,true,0.2102,0.89,000110011001100110000
62,8.9566,45.0,true,65.8892,true,3.3621,1.0,000110011001100110000
63,8.0789,45.0,true,67.487,true,3.475,1.0,000110011001100110000
64,8.6603,43.2548,true,86.7798,true,3.2787,1.0,000110011001100110000
65,8.2108,35.0,true,54.3889,true,3.2154,0.96,000110011001100110000
66,8.0,39.0188,true,64.8278,true,4.5504,0.99,000110011001100110000
67,8.6984,37.1753,true,67.2466,true,6.0,0.98,000110011001100110000
68,8.3368,36.4867,true,80.4798,true,5.6991,1.0,000110011001100110000
69,8.8448,43.6596,true,63.3589,true,2.749,1.0,000110011001100110000
70,8.579,45.0,true,92.9434,true,2.7015,0.84,000110111011101100000
71,8.1953,44.5773,true,59.1323,true,3.0744,0.99,000110011001100110000
72,8.9198,38.9859,true,87.1858,true,4.5871,1.0,000110011001100110000
73,8.3703,40.1424,true,80.4493,true,4.8406,1.0,000110011001100110000
74,8.5723,42.1287,true,90.9033,true,1.6985,1.0,000110111011101100000
75,8.6828,35.0,true,64.5636,true,3.7172,0.99,000110011001100110000
76,8.2767,35.0,true,88.5236,true,1.0292,0.99,000110011001100110000
77,8.9098,40.8671,true,61.7751,true,1.312,1.0,000110011001100110000
78,8.6726,43.2219,true,61.2486,true,3.4372,1.0,000110011001100110000
79,8.9059,38.1014,true,65.1234,true,2.0898,1.0,000110011001100110000
80,8.6184,45.0,true,65.1133,true,1.2268,1.0,000110011001100110000
81,9.0,36.6802,true,78.8701,true,3.7009,1.0,000110011001100110000
82,8.6573,37.866,true,95.7406,true,2.4607,0.99,000110111011101100000
83,9.0,36.6538,true,54.9284,true,4.6264,0.95,000110011001100110000
84,9.0,40.8789,true,93.465,true,3.2475,0.89,000110111011101100000
85,8.9324,43.8775,true,80.7647,true,3.5422,1.0,000110011001100110000
86,8.0,35.0,true,61.1718,true,2.6856,0.93,000110011001100110000
87,8.2229,42.1769,true,89.3046,true,4.7805,1.0,000110011001100110000
88,8.1837,42.4047,true,80.6549,true,0.8486,0.98,000110011001100110000
89,8.4141,35.2374,true,83.3734,true,3.0486,0.97,000110011001100110000
90,8.5903,38.3029,true,84.8558,true,2.8779,1.0,000110011001100110000
91,8.5648,45.0,true,53.9899,true,1.5978,0.97,000110011001100110000
92,8.2222,44.9195,true,74.1901,true,4.4383,1.0,000110011001100110000
93,8.0117,36.2352,true,69.0383,true,2.3088,0.99,000110011001100110000
94,8.4431,37.8693,true,84.2152,true,6.0,0.86,000110011001100110000
95,9.0,38.293,true,86.9675,true,2.2303,1.0,000110011001100110000
96,8.9621,40.4598,true,92.5626,true,5.4733,0.89,000110111011101100000
97,8.6167,38.2441,true,78.26,true,2.6511,1.0,000110011001100110000
98,8.4389,37.974,true,65.0868,true,0.3166,0.98,000110011001100110000
99,8.9146,43.1374,true,85.8356,true,1.5423,1.0,000110011001100110000
100,8.9768,39.6231,true,75.3248,true,3.3258,1.0,000110011001100110000
101,8.4802,43.1032,true,100.0,true,4.4421,0.88,000110111011101100000
102,8.9522,44.1645,true,76.3255,true,6.0,0.92,000110011001100110000
103,8.5137,40.667,true,56.0294,true,0.862,0.95,000110011001100110000
104,8.8862,44.053,true,83.0365,true,5.9682,0.97,000110011001100110000
105,8.2643,44.7438,true,74.3352,true,0.9703,1.0,000110011001100110000
106,8.0,36.2279,true,62.2256,true,3.6447,0.92,000110011001100110000
107,8.7092,38.5031,true,77.0811,true,5.2268,0.96,000110011001100110000
108,8.4728,36.1182,true,67.7149,true,3.815,0.99,000110011001100110000
109,8.3431,45.0,true,66.6319,true,0.0,0.96,000110011001100110000
110,9.0,41.4312,true,49.6821,true,1.1074,0.96,000110011001100110000
111,8.1739,42.8515,true,81.2364,true,1.2125,1.0,000110011001100110000
112,8.0,42.5099,true,61.3805,true,5.3881,0.98,000110011001100110000
113,8.2257,38.7064,true,77.4489,true,1.0079,1.0,000110011001100110000
114,8.1285,40.6922,true,81.8611,true,3.3893,1.0,000110011001100110000
115,8.8069,35.9619,true,72.2486,true,0.598,1.0,000110011001100110000
116,8.9268,35.7908,true,87.6949,true,4.5908,1.0,000110011001100110000
117,8.1389,41.9719,true,81.2888,true,4.6135,0.99,000110011001100110000
118,8.8395,45.0,true,97.7303,true,0.736,0.84,000110111011101100000
119,9.0,35.0,true,78.061,true,2.4422,1.0,000110011001100110000
120,8.1424,42.27,true,68.178,true,3.0629,0.98,000110011001100110000
121,8.3753,39.5391,true,75.2606,true,4.3732,0.99,000110011001100110000
122,8.1578,44.7153,true,61.5345,true,4.9298,0.99,000110011001100110000
123,8.1904,41.343,true,68.776,true,0.8607,1.0,000110011001100110000
124,8.2685,42.9077,true,79.9228,true,2.5117,0.99,000110011001100110000
125,8.0,45.0,true,83.4776,true,4.8445,0.99,000110011001100110000
126,8.9582,45.0,true,71.9023,true,1.2295,1.0,000110011001100110000
127,8.176,36.9942,true,70.178,true,2.9643,0.94,000110011001100110000
128,8.6238,43.7436,true,79.4527,true,1.2717,1.0,000110011001100110000
129,8.3435,37.1735,true,90.1739,true,6.0,0.81,000110111011101100000
130,8.781,42.5918,true,98.1265,true,0.8606,0.89,000110111011101100000
131,8.7376,45.0,true,80.6615,true,1.8557,1.0,000110011001100110000
132,8.6601,43.348,true,71.5035,true,2.5553,1.0,000110011001100110000
133,8.0243,45.0,true,89.349,true,2.9948,1.0,000110011001100110000
134,8.9084,37.4958,true,70.7834,true,2.1956,1.0,000110011001100110000
135,8.6728,35.114,true,54.5835,true,4.1891,0.96,000110011001100110000
136,8.4362,37.2215,true,66.798,true,5.3109,1.0,000110011001100110000
137,8.2138,42.9004,true,79.4278,true,4.3976,1.0,000110011001100110000
138,8.3762,42.81,true,58.9117,true,5.7094,0.93,000110011001100110000
139,8.3307,35.0,true,92.3158,true,1.3859,0.94,000110111011101100000
140,8.4475,42.3176,true,77.6009,true,4.7186,1.0,000110011001100110000
141,8.0,41.3648,true,92.2338,true,5.5522,0.92,000110111011101100000
142,8.4684,41.5228,true,56.806,true,3.6006,1.0,000110011001100110000
143,9.0,37.5705,true,62.9657,true,5.6155,1.0,000110011001100110000
144,9.0,39.8086,true,60.7777,true,0.0,0.86,000110011001100110000
145,8.2463,36.3084,true,61.1139,true,5.1455,0.94,000110011001100110000
146,8.2064,42.6739,true,71.6908,true,3.4667,1.0,000110011001100110000
147,8.9502,41.7601,true,86.9506,true,0.175,0.99,000110011001100110000
148,8.1715,41.6204,true,70.7624,true,2.0477,1.0,000110011001100110000
149,9.0,36.1165,true,63.1362,true,2.1629,1.0,000110011001100110000
150,8.6196,45.0,true,81.3577,true,0.935,1.0,000110011001100110000
151,8.7417,42.9598,true,52.8864,true,2.8358,1.0,000110011001100110000
152,8.1833,45.0,true,88.137,true,5.3893,0.99,000110011001100110000
153,8.0344,43.5611,true,80.4522,true,1.7459,1.0,000110011001100110000
154,8.8647,42.2842,true,88.0104,true,2.3705,1.0,000110011001100110000
155,8.6266,42.9953,true,43.0442,true,2.6272,0.81,000110011001100110000
156,8.7571,42.1881,true,74.9026,true,5.8701,0.92,000110011001100110000
157,9.0,45.0,true,91.6684,true,2.4277,0.99,000110111011101100000
158,8.3239,45.0,true,67.234,true,1.298,1.0,000110011001100110000
159,8.4571,39.7927,true,70.7654,true,3.2135,1.0,000110011001100110000
160,8.8453,37.9695,true,77.1659,true,2.2368,1.0,000110011001100110000
161,8.0,35.0,true,83.2765,true,3.4297,1.0,000110011001100110000
162,8.973,44.9059,true,86.0758,true,2.3759,1.0,000110011001100110000
163,8.8359,35.259,true,62.6388,true,5.5593,0.95,000110011001100110000
164,8.169,42.3889,true,80.6725,true,3.9813,1.0,000110011001100110000
165,8.2748,45.0,true,50.496,true,0.9831,0.81,000110011001100110000
166,8.9001,36.2015,true,69.7988,true,1.7675,1.0,000110011001100110000
167,8.4016,41.6873,true,70.9311,true,1.6954,1.0,000110011001100110000
168,8.8784,35.4892,true,82.1918,true,0.4912,0.99,000110011001100110000
169,8.5906,35.7428,true,49.7206,true,3.7737,0.91,000110011001100110000
170,8.5603,44.9245,true,77.5869,true,2.5384,1.0,000110011001100110000
171,8.0714,39.0738,true,90.0558,true,2.8813,0.96,000110111011101100000
172,8.133,43.625,true,75.0303,true,2.9229,1.0,000110011001100110000
173,8.307,41.0328,true,53.8602,true,1.364,1.0,000110011001100110000
174,8.5134,36.2834,true,70.4789,true,2.942,1.0,000110011001100110000
175,9.0,39.6716,true,48.9285,true,3.165,0.92,000110011001100110000
176,8.4898,38.8803,true,82.8198,true,0.6276,0.94,000110011001100110000
177,8.5192,39.9901,true,72.688,true,0.3966,0.96,000110011001100110000
178,8.7624,43.0705,true,81.1264,true,4.816,1.0,000110011001100110000
179,8.2062,45.0,true,73.7537,true,3.0624,1.0,000110011001100110000
180,8.791,40.6277,true,72.6926,true,0.095,0.98,000110011001100110000
181,8.5381,44.93,true,48.7702,true,0.5749,0.8,000110011001100110000
182,8.5523,42.5385,true,61.402,true,4.0059,1.0,000110011001100110000
183,8.0,38.9658,true,87.807,true,3.8849,0.94,000110011001100110000
184,8.4611,37.0779,true,76.4317,true,3.3606,1.0,000110011001100110000
185,8.9265,40.5076,true,61.7997,true,5.2119,0.96,000110011001100110000
186,8.2437,41.7921,true,54.5445,true,5.345,0.89,000110011001100110000
187,8.7702,35.0,true,88.5677,true,4.3421,0.99,000110011001100110000
188,8.3508,39.8969,true,77.4447,true,1.656,0.99,000110011001100110000
189,8.4334,39.5733,true,71.7377,true,3.3256,1.0,000110011001100110000
190,8.2057,35.0,true,70.007,true,2.2252,0.99,000110011001100110000
191,8.2911,42.853,true,72.8962,true,0.7641,0.97,000110011001100110000
192,8.4916,42.8446,true,92.8997,true,2.2272,0.87,000110111011101100000
193,8.7909,41.1944,true,53.9888,true,4.2355,1.0,000110011001100110000
194,8.3039,36.1764,true,59.7526,true,1.6795,0.94,000110011001100110000
195,8.1901,41.1889,true,56.6069,true,0.5804,0.89,000110011001100110000
196,8.3247,42.0102,true,100.0,true,3.4036,0.87,000110111011101100000
197,8.4176,35.0,true,89.0687,true,3.8155,1.0,000110011001100110000
198,8.9926,37.082,true,55.6815,true,0.0,0.96,000110011001100110000
199,8.7497,36.4657,true,74.2924,true,3.2331,1.0,000110011001100110000
200,8.1864,35.0,true,66.8245,true,0.3859,0.94,000110011001100110000
201,8.4011,35.8249,true,58.1171,true,1.8837,0.95,000110011001100110000
202,8.9995,35.9626,true,89.066,true,2.8218,1.0,000110011001100110000
203,8.0704,35.4301,true,63.868,true,2.0548,0.97,000110011001100110000
204,9.0,44.4326,true,61.7028,true,5.8108,0.97,000110011001100110000
205,8.388,44.1958,true,79.1379,true,1.907,1.0,000110011001100110000
206,9.0,35.0,true,75.9862,true,2.3161,1.0,000110011001100110000
207,8.5192,35.0,true,68.9686,true,4.1266,0.99,000110011001100110000
