Sample Name,Replicate,Wavelength,Absorbance,Toxgreen Dir,Percent GpA,Day,ReplicateDay
2F12,3,512,11386,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-29_toxgreen,62.19705384293233,2024-4-29_toxgreen,2024-4-29_toxgreen-3
2H11,1,512,34617,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-23_toxgreen,156.59549443589975,2024-4-23_toxgreen,2024-4-23_toxgreen-1
2H11,3,512,33137,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-23_toxgreen,149.90047950782593,2024-4-23_toxgreen,2024-4-23_toxgreen-3
2H11,2,512,30528,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-23_toxgreen,138.09825386772823,2024-4-23_toxgreen,2024-4-23_toxgreen-2
2H11,1,512,29479,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-26_toxgreen,129.2598439007279,2024-4-26_toxgreen,2024-4-26_toxgreen-1
2H11,2,512,25044,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-26_toxgreen,109.8132070507761,2024-4-26_toxgreen,2024-4-26_toxgreen-2
2H11,3,512,27665,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-26_toxgreen,121.30579672016135,2024-4-26_toxgreen,2024-4-26_toxgreen-3
G83I,1,512,5624,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,23.37198188089598,2024-4-13_toxgreen,2024-4-13_toxgreen-1
G83I,3,512,1573,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,6.537007023230686,2024-4-13_toxgreen,2024-4-13_toxgreen-3
G83I,2,512,2539,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,10.55146906038316,2024-4-13_toxgreen,2024-4-13_toxgreen-2
G83I,1,512,4114,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-27_toxgreen,18.770246224506863,2024-4-27_toxgreen,2024-4-27_toxgreen-1
G83I,2,512,3316,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-27_toxgreen,15.129347710370627,2024-4-27_toxgreen,2024-4-27_toxgreen-2
G83I,3,512,4635,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-27_toxgreen,21.147324076467992,2024-4-27_toxgreen,2024-4-27_toxgreen-3
Gpa,1,512,27367,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,113.73062377924614,2024-4-13_toxgreen,2024-4-13_toxgreen-1
Gpa,3,512,19385,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,80.55936500020778,2024-4-13_toxgreen,2024-4-13_toxgreen-3
Gpa,2,512,25437,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,105.71001122054606,2024-4-13_toxgreen,2024-4-13_toxgreen-2
Gpa,1,512,22771,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,112.91964890821032,2024-4-18_toxgreen,2024-4-18_toxgreen-1
Gpa,2,512,20078,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,99.56526769922475,2024-4-18_toxgreen,2024-4-18_toxgreen-2
Gpa,3,512,17648,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,87.51508339256492,2024-4-18_toxgreen,2024-4-18_toxgreen-3
L4,1,512,11672,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,57.88055606063111,2024-4-18_toxgreen,2024-4-18_toxgreen-1
L4,2,512,13447,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,66.68264542043407,2024-4-18_toxgreen,2024-4-18_toxgreen-2
L4,3,512,11417,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,56.61603054696926,2024-4-18_toxgreen,2024-4-18_toxgreen-3
L4,1,512,10530,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-29_toxgreen,57.52107649447369,2024-4-29_toxgreen,2024-4-29_toxgreen-1
L4,2,512,11113,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-29_toxgreen,60.70576667455708,2024-4-29_toxgreen,2024-4-29_toxgreen-2
L4,3,512,12979,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-29_toxgreen,70.89896028696808,2024-4-29_toxgreen,2024-4-29_toxgreen-3
L8,1,512,9869,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,52.54685503336647,2024-4-11_toxgreen,2024-4-11_toxgreen-1
L8,3,512,14593,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,77.69948885418147,2024-4-11_toxgreen,2024-4-11_toxgreen-3
L8,2,512,14559,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,77.5184580434474,2024-4-11_toxgreen,2024-4-11_toxgreen-2
L8,1,512,11138,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,55.23249086731573,2024-4-18_toxgreen,2024-4-18_toxgreen-1
L8,2,512,14423,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,71.52255483742995,2024-4-18_toxgreen,2024-4-18_toxgreen-2
L8,3,512,16129,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,79.98247847000677,2024-4-18_toxgreen,2024-4-18_toxgreen-3
