,xShift,crossingAngle,negCross,axialRotation,negRot,zShift,density,interface
0,8.8751,25.9466,false,51.6957,true,1.031,0.8,000011011001101100000
1,9.4671,20.6537,false,91.0285,true,6.0,0.81,000011011001101100000
2,8.7256,18.0,false,48.0465,true,0.6548,0.93,000011011001101100000
3,8.5,26.487,false,28.1227,true,4.5155,0.92,000110011011001100000
4,8.5,22.684,false,56.2141,true,1.8448,0.85,000011011001101100000
5,9.3292,25.1069,false,0.0,true,1.6663,0.85,000110011011001100000
6,8.866,18.7735,false,45.0379,true,0.6527,0.84,000011011001101100000
7,9.1804,22.1293,false,20.7154,true,4.6017,0.89,000110011011001100000
8,8.5,22.9548,false,52.9745,true,1.8371,0.94,000011011001101100000
9,9.182,20.5829,false,55.4359,true,1.8477,0.98,000011011001101100000
10,9.4638,18.0,false,67.6767,true,3.591,0.98,000011001101100110000
11,9.15,25.1045,false,83.8101,true,5.5033,0.85,000011011001101100000
12,9.4109,19.2829,false,45.9779,true,5.3563,0.97,000011011001101100000
13,8.8637,18.2631,false,24.0722,true,4.4058,0.87,000110011011001100000
14,9.3492,28.0,false,28.1133,true,4.4681,0.99,000110011011001100000
15,9.2048,20.6188,false,71.5388,true,3.305,0.93,000011001101100110000
16,9.5,22.0791,false,58.3827,true,0.8728,0.93,000011011001101100000
17,9.4547,28.0,false,57.326,true,2.0181,0.87,000011011001101100000
18,8.8417,25.5581,false,57.3464,true,2.8019,0.8,000011011001101100000
19,9.1608,18.3197,false,12.9481,true,3.6435,0.93,000110011011001100000
20,8.693,18.6362,false,79.2772,true,5.7464,0.83,000011011001101100000
21,9.2198,27.9926,false,45.3496,true,0.7704,0.95,000011011001101100000
22,9.5,23.1209,false,75.3567,true,3.8348,0.98,000011001101100110000
23,9.3647,27.4595,false,47.9717,true,5.0233,0.88,000011011001101100000
24,9.1929,27.6823,false,65.5408,true,1.7167,0.84,000011001101100110000
25,9.1355,18.019,false,57.5149,true,0.8268,0.89,000011011001101100000
26,8.7464,27.3149,false,41.5873,true,0.0,0.93,000011011001101100000
27,9.2615,24.885,false,29.9324,true,5.1097,0.92,000110011011001100000
28,9.5,24.6841,false,44.8385,true,1.6786,0.81,000011011001101100000
29,9.3899,21.9593,false,67.9289,true,3.118,0.96,000011001101100110000
30,8.9222,18.0,false,93.608,true,1.1547,0.82,000011001101100110000
31,9.3065,19.3306,false,83.0179,true,5.6199,0.87,000011011001101100000
32,9.4085,18.6391,false,52.8936,true,1.4078,0.94,000011011001101100000
33,9.0476,21.2975,false,25.5517,true,4.1247,0.91,000110011011001100000
34,9.2941,28.0,false,54.2781,true,1.1409,0.99,000011011001101100000
35,9.0378,28.0,false,46.9239,true,0.7099,0.82,000011011001101100000
36,9.5,22.3652,false,44.1557,true,5.4844,0.89,000011011001101100000
37,9.1753,21.8956,false,65.2413,true,1.8756,0.89,000011001101100110000
38,9.1328,20.8462,false,55.8807,true,2.7683,0.97,000011011001101100000
39,9.2531,20.3395,false,3.9768,true,1.7477,0.87,000110011011001100000
40,9.5,27.399,false,34.9331,true,3.8652,0.94,000011011001101100000
41,8.9784,18.8717,false,80.6068,true,5.0581,0.82,000011011001101100000
42,9.4352,26.3617,false,32.2875,true,3.8195,0.99,000011011001101100000
43,9.4379,19.5297,false,72.2211,true,4.3078,0.89,000011001101100110000
44,9.0744,23.9706,false,7.604,true,1.9555,0.83,000110011011001100000
45,8.7334,28.0,false,41.4014,true,0.1115,0.87,000011011001101100000
46,9.262,25.8965,false,54.0701,true,0.8562,0.99,000011011001101100000
47,8.9039,26.2081,false,5.8482,true,2.5883,0.85,000110011011001100000
48,9.0022,19.8623,false,64.8035,true,3.1096,0.91,000011001101100110000
49,9.4216,19.4495,false,70.4871,true,3.8406,0.95,000011001101100110000
50,8.9352,25.4945,false,70.6366,true,4.5156,0.85,000011011001101100000
51,9.2552,20.6005,false,84.9759,true,4.9039,0.99,000011011001101100000
52,9.3691,24.1117,false,6.8745,true,1.5547,0.94,000110011011001100000
53,9.0982,24.7627,false,89.5888,true,0.8678,0.8,000011001101100110000
54,9.5,21.7323,false,23.8694,true,4.7107,0.86,000110011011001100000
55,8.8877,28.0,false,32.682,true,5.2911,0.92,000110011011001100000
56,9.3225,19.0608,false,31.2568,true,5.1512,1.0,000110011011001100000
57,8.5656,22.234,false,61.8794,true,2.9555,0.94,000011001101100110000
58,9.3685,28.0,false,11.0687,true,2.6664,0.98,000110011011001100000
59,9.3979,28.0,false,66.8601,true,4.233,0.84,000011001101100110000
60,9.2462,27.1332,false,92.6969,true,0.0257,0.8,000011001101100110000
61,9.5,19.6212,false,71.3642,true,4.8543,0.92,000011011001101100000
62,9.4361,26.8817,false,94.7592,true,5.2312,0.94,000011011001101100000
63,9.2096,19.2266,false,24.3867,true,4.8603,0.89,000110011011001100000
64,9.5,19.3829,false,71.0484,true,4.1866,1.0,000011001101100110000
65,8.6693,24.3531,false,45.8321,true,1.9951,0.93,000011011001101100000
66,8.5,27.605,false,33.3116,true,4.871,0.97,000110011011001100000
67,9.3783,18.4002,false,79.4774,true,3.5042,0.94,000011001101100110000
68,9.49,18.7288,false,89.3077,true,0.5358,0.84,000011001101100110000
69,9.5,23.2811,false,92.5866,true,5.2169,0.97,000011011001101100000
70,9.2409,18.0896,false,64.3486,true,2.9603,0.96,000011001101100110000
71,9.3596,22.7965,false,67.2774,true,3.9396,0.89,000011001101100110000
72,9.4094,28.0,false,50.6773,true,0.464,0.94,000011011001101100000
73,9.1724,28.0,false,22.7239,true,2.8275,0.98,000011011001101100000
74,9.1521,20.1826,false,36.0394,true,5.1647,1.0,000110011011001100000
75,9.4458,19.5276,false,73.3914,true,3.5738,0.92,000011001101100110000
76,8.5,25.8912,false,47.1555,true,0.9238,0.82,000011011001101100000
77,9.3497,18.0,false,17.1706,true,3.183,0.95,000110011011001100000
78,9.4465,18.0,false,27.4665,true,3.7565,0.93,000110011011001100000
79,9.4705,21.9555,false,34.552,true,4.3714,0.95,000110011011001100000
80,8.9859,22.7663,false,60.197,true,0.9379,0.86,000011001101100110000
81,9.4297,21.183,false,57.3816,true,0.5395,0.94,000011011001101100000
82,8.9041,26.7638,false,7.1624,true,2.6224,0.87,000110011011001100000
83,9.5,19.2793,false,65.6637,true,2.3144,1.0,000011001101100110000
84,9.257,26.8152,false,53.1299,true,2.0054,0.87,000011011001101100000
85,9.2397,28.0,false,9.2386,true,2.8176,0.94,000110011011001100000
86,8.727,26.4831,false,41.0513,true,0.8873,0.99,000011011001101100000
87,9.4588,18.031,false,78.8007,true,3.9905,0.96,000011001101100110000
88,9.2283,19.1254,false,54.2361,true,2.8659,0.89,000011011001101100000
89,8.6812,23.1653,false,83.7341,true,5.6958,0.82,000011011001101100000
90,9.5,19.8107,false,84.328,true,5.4551,0.94,000011011001101100000
91,9.5,27.6418,false,10.4261,true,2.4685,0.99,000110011011001100000
92,9.5,21.5639,false,69.5832,true,5.2921,0.83,000011011001101100000
93,9.0426,20.6857,false,40.4622,true,0.0,0.83,000011011001101100000
94,9.5,18.0,false,29.2548,true,3.3963,0.99,000011011001101100000
95,9.4274,18.0,false,90.893,true,5.8497,0.87,000011011001101100000
96,9.5,19.9089,false,32.4264,true,3.9878,0.91,000011011001101100000
97,9.2781,26.2867,false,29.4662,true,3.4042,0.82,000011011001101100000
98,9.4796,25.4536,false,6.7522,true,3.171,0.86,000110011011001100000
99,8.6691,18.1723,false,85.025,true,0.3888,0.81,000011001101100110000
100,9.4702,20.5583,false,93.0007,true,0.401,0.83,000011001101100110000
101,9.322,23.5082,false,40.5779,true,0.2451,0.94,000011011001101100000
102,9.3132,18.0,false,68.1639,true,2.9005,0.98,000011001101100110000
103,9.306,21.8001,false,82.2429,true,5.5837,0.83,000011011001101100000
104,8.7062,20.8709,false,46.5413,true,1.1609,0.99,000011011001101100000
105,9.2896,25.6993,false,27.5645,true,6.0,0.83,000110011011001100000
106,9.1131,21.4742,false,35.9102,true,0.8017,0.87,000011011001101100000
107,8.9246,25.6776,false,37.2936,true,0.2884,0.86,000011011001101100000
108,9.0251,19.2252,false,54.1416,true,2.56,0.92,000011011001101100000
109,9.4332,24.7841,false,72.7825,true,2.5597,0.96,000011001101100110000
110,9.3999,22.5454,false,28.7462,true,3.5713,0.97,000011011001101100000
111,8.6906,25.3071,false,53.4072,true,1.4446,0.96,000011011001101100000
112,8.5787,26.1522,false,45.1623,true,1.2672,0.99,000011011001101100000
113,9.4994,21.2275,false,32.967,true,5.6229,0.99,000110011011001100000
114,9.1513,21.2337,false,50.3354,true,0.9478,0.8,000011011001101100000
115,9.5,18.7049,false,80.3354,true,5.5495,0.99,000011011001101100000
116,9.0136,18.0,false,78.7545,true,5.6262,0.8,000011011001101100000
117,8.7326,18.0,false,46.1784,true,2.3498,0.89,000011011001101100000
118,8.9765,25.027,false,47.6492,true,0.7621,0.97,000011011001101100000
119,8.7263,27.3304,false,12.5692,true,2.3446,0.85,000110011011001100000
120,9.232,26.8212,false,54.4376,true,1.5233,0.9,000011011001101100000
121,9.5,26.9555,false,45.4792,true,6.0,0.94,000110011011001100000
122,8.9657,25.9979,false,29.9879,true,4.2712,0.85,000110011011001100000
123,9.193,19.4113,false,52.2956,true,1.5169,0.88,000011011001101100000
124,9.2124,24.2459,false,12.6706,true,3.1073,0.82,000110011011001100000
125,8.5275,19.1933,false,93.0621,true,0.3961,0.9,000011001101100110000
126,9.5,27.7934,false,51.1863,true,1.2193,0.88,000011011001101100000
127,8.9321,21.5705,false,23.0714,true,4.0912,0.82,000110011011001100000
128,9.2343,28.0,false,51.1018,true,0.9942,0.96,000011011001101100000
129,9.3326,26.5073,false,66.1239,true,2.8172,0.95,000011001101100110000
130,9.5,28.0,false,93.8127,true,0.0534,0.8,000011001101100110000
131,9.5,25.3355,false,41.783,true,0.4129,0.93,000011011001101100000
132,9.5,18.0,false,55.6721,true,2.0757,0.99,000011011001101100000
133,9.1702,28.0,false,6.8479,true,1.8226,0.89,000110011011001100000
134,8.5663,19.1252,false,54.5558,true,1.7228,0.93,000011011001101100000
135,8.7396,20.9098,false,44.5274,true,0.5264,0.84,000011011001101100000
136,9.1094,26.665,false,7.5459,true,1.623,0.82,000110011011001100000
137,9.2742,25.8985,false,73.3126,true,2.9979,0.86,000011001101100110000
138,8.8456,21.9897,false,75.708,true,3.8343,0.86,000011001101100110000
139,9.2199,21.874,false,74.6672,true,3.7798,0.91,000011001101100110000
140,9.2887,27.3343,false,12.385,true,3.0759,0.98,000110011011001100000
141,8.5,25.205,false,46.3292,true,1.1759,0.92,000011011001101100000
142,9.3421,21.7672,false,36.1328,true,6.0,0.8,000110011011001100000
143,9.5,21.543,false,66.8607,true,2.7761,1.0,000011001101100110000
144,9.2376,19.5358,false,27.4102,true,3.9094,0.98,000110011011001100000
145,9.2674,18.0,false,64.4111,true,3.8978,0.88,000011001101100110000
146,8.5329,18.2531,false,92.81,true,1.08,0.99,000011001101100110000
147,9.3867,27.0335,false,18.269,true,1.8627,0.99,000011011001101100000
148,9.2236,25.7282,false,61.169,true,3.4709,0.93,000011001101100110000
149,9.0463,19.1893,false,90.9862,true,0.0285,0.87,000011001101100110000
150,9.4455,25.2947,false,20.0811,true,3.6809,0.98,000110011011001100000
151,9.5,18.5814,false,77.3667,true,2.7356,0.95,000011001101100110000
152,9.5,25.1701,false,23.167,true,2.123,0.9,000011011001101100000
153,8.8777,19.3193,false,38.2601,true,0.3326,0.97,000011011001101100000
154,9.0187,18.0,false,60.7524,true,2.8918,0.96,000011001101100110000
155,8.8575,26.396,false,38.7468,true,0.7918,0.92,000011011001101100000
