xShift,crossingAngle,axialRotation,zShift,energy
8.5,18.0,-100.0,5.55,7.781312
8.5,18.0,-100.0,6.9,-2.991785
8.5,18.0,-101.667,5.125,1.149827
8.5,18.0,-101.667,6.475,-1.074044
8.5,18.0,-103.333,4.7,-1.183144
8.5,18.0,-103.333,6.05,3.205549
8.5,18.0,-105.0,4.275,-0.545198
8.5,18.0,-106.667,2.5,5.625577
8.5,18.0,-106.667,3.85,2.616074
8.5,18.0,-108.333,3.425,8.309836
8.5,18.0,-10.0,0.15,-10.359823
8.5,18.0,-10.0,1.5,-13.625752
8.5,18.0,-11.6667,1.075,-13.568289
8.5,18.0,-13.3333,0.65,-13.270318
8.5,18.0,-13.3333,2.0,-10.445893
8.5,18.0,-15.0,0.225,-12.695896
8.5,18.0,-15.0,1.575,-7.720898
8.5,18.0,-16.6667,1.15,-2.965451
8.5,18.0,-18.3333,0.725,5.669936
8.5,18.0,-50.0,6.15,-9.363321
8.5,18.0,-51.6667,4.375,-0.564725
8.5,18.0,-51.6667,5.725,-10.778852
8.5,18.0,-53.3333,3.95,-6.674627
8.5,18.0,-53.3333,5.3,-11.543627
8.5,18.0,-55.0,2.175,8.871466
8.5,18.0,-55.0,3.525,-9.785116
8.5,18.0,-55.0,4.875,-11.921845
8.5,18.0,-55.0,6.225,-10.236939
8.5,18.0,-56.6667,1.75,-1.916943
8.5,18.0,-56.6667,3.1,-11.389882
8.5,18.0,-56.6667,4.45,-12.03076
8.5,18.0,-56.6667,5.8,-9.322353
8.5,18.0,-58.3333,1.325,-7.323278
8.5,18.0,-58.3333,2.675,-12.20667
8.5,18.0,-58.3333,4.025,-11.897317
8.5,18.0,-58.3333,5.375,-7.683823
8.5,18.0,-6.66667,1.0,-0.899398
8.5,18.0,-60.0,0.9,-10.069118
8.5,18.0,-60.0,2.25,-12.579232
8.5,18.0,-60.0,3.6,-11.484358
8.5,18.0,-60.0,4.95,-4.825762
8.5,18.0,-61.6667,1.825,-12.66311
8.5,18.0,-61.6667,3.175,-10.684991
8.5,18.0,-61.6667,4.525,0.182077
8.5,18.0,-63.3333,1.4,-12.509647
8.5,18.0,-63.3333,2.75,-9.2939
8.5,18.0,-63.3333,4.1,9.174345
8.5,18.0,-65.0,0.975,-12.099341
8.5,18.0,-65.0,2.325,-6.941025
8.5,18.0,-66.6667,1.9,-2.949181
8.5,18.0,-68.3333,1.475,3.981018
8.5,18.0,-8.33333,0.575,-7.156853
8.5,20.0,-100.0,5.55,7.528811
8.5,20.0,-100.0,6.9,-0.279677
8.5,20.0,-101.667,5.125,1.641002
8.5,20.0,-101.667,6.475,1.57379
8.5,20.0,-103.333,4.7,-0.179222
8.5,20.0,-103.333,6.05,5.998374
8.5,20.0,-105.0,4.275,0.851459
8.5,20.0,-106.667,2.5,6.552852
8.5,20.0,-106.667,3.85,4.260604
8.5,20.0,-108.333,3.425,9.927191
8.5,20.0,-10.0,0.15,-8.775767
8.5,20.0,-10.0,1.5,-12.804632
8.5,20.0,-11.6667,1.075,-12.668421
8.5,20.0,-13.3333,0.65,-12.247166
8.5,20.0,-13.3333,2.0,-7.906068
8.5,20.0,-15.0,0.225,-11.481906
8.5,20.0,-15.0,1.575,-3.402806
8.5,20.0,-16.6667,1.15,5.014199
8.5,20.0,-50.0,6.15,-8.547818
8.5,20.0,-51.6667,4.375,6.875568
8.5,20.0,-51.6667,5.725,-10.171672
8.5,20.0,-53.3333,3.95,-2.496781
8.5,20.0,-53.3333,5.3,-11.07839
8.5,20.0,-55.0,3.525,-7.367332
8.5,20.0,-55.0,4.875,-11.53717
8.5,20.0,-55.0,6.225,-9.623324
8.5,20.0,-56.6667,1.75,4.34968
8.5,20.0,-56.6667,3.1,-9.911945
8.5,20.0,-56.6667,4.45,-11.677612
8.5,20.0,-56.6667,5.8,-8.341771
8.5,20.0,-58.3333,1.325,-4.079158
8.5,20.0,-58.3333,2.675,-11.225913
8.5,20.0,-58.3333,4.025,-11.538897
8.5,20.0,-58.3333,5.375,-6.104767
8.5,20.0,-6.66667,1.0,1.138686
8.5,20.0,-60.0,0.9,-8.266596
8.5,20.0,-60.0,2.25,-11.855939
8.5,20.0,-60.0,3.6,-11.088959
8.5,20.0,-60.0,4.95,-2.259615
8.5,20.0,-61.6667,1.825,-12.064103
8.5,20.0,-61.6667,3.175,-10.21669
8.5,20.0,-61.6667,4.525,4.419147
8.5,20.0,-63.3333,1.4,-11.952473
8.5,20.0,-63.3333,2.75,-8.693871
8.5,20.0,-65.0,0.975,-11.515711
8.5,20.0,-65.0,2.325,-6.085121
8.5,20.0,-66.6667,1.9,-1.510988
8.5,20.0,-68.3333,1.475,6.969174
8.5,20.0,-8.33333,0.575,-5.263571
8.5,22.0,-100.0,5.55,8.438892
8.5,22.0,-100.0,6.9,3.156257
8.5,22.0,-101.667,5.125,2.887847
8.5,22.0,-101.667,6.475,3.975993
8.5,22.0,-103.333,4.7,1.254622
8.5,22.0,-103.333,6.05,7.793908
8.5,22.0,-105.0,4.275,2.359429
8.5,22.0,-106.667,2.5,8.052528
8.5,22.0,-106.667,3.85,5.69237
8.5,22.0,-10.0,0.15,-6.767151
8.5,22.0,-10.0,1.5,-11.880939
8.5,22.0,-11.6667,1.075,-11.568989
8.5,22.0,-13.3333,0.65,-10.873365
8.5,22.0,-13.3333,2.0,-1.271155
8.5,22.0,-15.0,0.225,-9.687807
8.5,22.0,-15.0,1.575,9.318973
8.5,22.0,-50.0,6.15,-7.197553
8.5,22.0,-51.6667,5.725,-9.041514
8.5,22.0,-53.3333,3.95,5.599585
8.5,22.0,-53.3333,5.3,-10.106474
8.5,22.0,-55.0,3.525,-2.555308
8.5,22.0,-55.0,4.875,-10.649237
8.5,22.0,-55.0,6.225,-8.062817
8.5,22.0,-56.6667,3.1,-6.966656
8.5,22.0,-56.6667,4.45,-10.807755
8.5,22.0,-56.6667,5.8,-5.949506
8.5,22.0,-58.3333,1.325,2.208087
8.5,22.0,-58.3333,2.675,-9.326274
8.5,22.0,-58.3333,4.025,-10.627012
8.5,22.0,-58.3333,5.375,-2.408071
8.5,22.0,-6.66667,1.0,3.468638
8.5,22.0,-60.0,0.9,-4.84116
8.5,22.0,-60.0,2.25,-10.52854
8.5,22.0,-60.0,3.6,-10.0709
8.5,22.0,-60.0,4.95,3.512659
8.5,22.0,-61.6667,1.825,-11.021939
8.5,22.0,-61.6667,3.175,-8.999042
8.5,22.0,-63.3333,1.4,-10.986536
8.5,22.0,-63.3333,2.75,-7.081277
8.5,22.0,-65.0,0.975,-10.405519
8.5,22.0,-65.0,2.325,-3.554248
8.5,22.0,-66.6667,1.9,3.505224
8.5,22.0,-8.33333,0.575,-2.946889
8.5,24.0,-100.0,5.55,7.386876
8.5,24.0,-100.0,6.9,6.388492
8.5,24.0,-101.667,5.125,3.06098
8.5,24.0,-101.667,6.475,5.44967
8.5,24.0,-103.333,4.7,2.051557
8.5,24.0,-103.333,6.05,8.042292
8.5,24.0,-105.0,4.275,3.396542
8.5,24.0,-105.0,6.975,8.487135
8.5,24.0,-106.667,2.5,9.564604
8.5,24.0,-106.667,3.85,6.574186
8.5,24.0,-10.0,0.15,-4.36311
8.5,24.0,-10.0,1.5,-10.752999
8.5,24.0,-11.6667,1.075,-10.082868
8.5,24.0,-13.3333,0.65,-8.853258
8.5,24.0,-15.0,0.225,-6.864879
8.5,24.0,-50.0,6.15,-5.29031
8.5,24.0,-51.6667,5.725,-7.365436
8.5,24.0,-53.3333,5.3,-8.639205
8.5,24.0,-55.0,3.525,5.415021
8.5,24.0,-55.0,4.875,-9.33276
8.5,24.0,-55.0,6.225,-4.881704
8.5,24.0,-56.6667,3.1,-2.161165
8.5,24.0,-56.6667,4.45,-9.572772
8.5,24.0,-56.6667,5.8,-1.134204
8.5,24.0,-58.3333,1.325,9.667475
8.5,24.0,-58.3333,2.675,-6.347171
8.5,24.0,-58.3333,4.025,-9.406393
8.5,24.0,-58.3333,5.375,4.899146
8.5,24.0,-6.66667,1.0,5.922517
8.5,24.0,-60.0,0.9,-0.689017
8.5,24.0,-60.0,2.25,-8.561902
8.5,24.0,-60.0,3.6,-8.790894
8.5,24.0,-61.6667,1.825,-9.548665
8.5,24.0,-61.6667,3.175,-7.539717
8.5,24.0,-63.3333,1.4,-9.597039
8.5,24.0,-63.3333,2.75,-5.147249
8.5,24.0,-65.0,0.975,-8.580202
8.5,24.0,-65.0,2.325,-0.245726
8.5,24.0,-8.33333,0.575,-0.305385
8.5,26.0,-100.0,5.55,4.851258
8.5,26.0,-100.0,6.9,8.032062
8.5,26.0,-101.667,5.125,2.134084
8.5,26.0,-101.667,6.475,5.496501
8.5,26.0,-103.333,4.7,1.932406
8.5,26.0,-103.333,6.05,6.898783
8.5,26.0,-105.0,4.275,3.578556
8.5,26.0,-105.0,6.975,7.258059
8.5,26.0,-106.667,3.85,6.665942
8.5,26.0,-10.0,0.15,-1.391461
8.5,26.0,-10.0,1.5,-9.139569
8.5,26.0,-11.6667,1.075,-7.751592
8.5,26.0,-13.3333,0.65,-5.443469
8.5,26.0,-15.0,0.225,-1.81958
8.5,26.0,-50.0,6.15,-2.841706
8.5,26.0,-51.6667,5.725,-5.153349
8.5,26.0,-53.3333,5.3,-6.680063
8.5,26.0,-55.0,4.875,-7.582161
8.5,26.0,-55.0,6.225,1.574209
8.5,26.0,-56.6667,3.1,5.155254
8.5,26.0,-56.6667,4.45,-7.971874
8.5,26.0,-56.6667,5.8,8.715375
8.5,26.0,-58.3333,2.675,-1.946984
8.5,26.0,-58.3333,4.025,-7.901972
8.5,26.0,-6.66667,1.0,8.659637
8.5,26.0,-60.0,0.9,2.274913
8.5,26.0,-60.0,2.25,-5.812213
8.5,26.0,-60.0,3.6,-7.346208
8.5,26.0,-61.6667,1.825,-7.620931
8.5,26.0,-61.6667,3.175,-6.13316
8.5,26.0,-63.3333,1.4,-7.793138
8.5,26.0,-63.3333,2.75,-3.745069
