,xShift,crossingAngle,negCross,axialRotation,negRot,zShift,density,interface
0,9.2474,21.0561,false,87.7416,true,0.2444,0.88,000011001101100110000
1,9.2193,18.0284,false,74.973,true,3.4993,0.9,000011001101100110000
2,9.3564,21.1184,false,12.9143,true,1.4172,0.88,000011011001101100000
3,9.2996,24.4836,false,18.0933,true,3.8804,0.91,000110011011001100000
4,9.378,19.0504,false,82.0944,true,4.5502,1.0,000011011001101100000
5,9.4513,26.8284,false,24.2288,true,4.6975,0.88,000110011011001100000
6,9.3453,18.0,false,29.4782,true,4.4218,1.0,000110011011001100000
7,9.4625,28.0,false,21.3304,true,3.9302,1.0,000110011011001100000
8,9.483,27.5613,false,47.069,true,1.4092,0.98,000011011001101100000
9,9.1366,24.6118,false,77.076,true,3.5621,0.88,000011001101100110000
10,9.5,27.0703,false,6.1597,true,1.3326,0.9,000110011011001100000
11,8.5609,18.8652,false,40.7491,true,0.4192,0.99,000011011001101100000
12,8.9881,28.0,false,51.8446,true,0.636,0.9,000011011001101100000
13,9.4414,28.0,false,12.8279,true,2.4312,0.97,000110011011001100000
14,9.2539,23.1424,false,40.9142,true,5.4825,0.98,000110011011001100000
15,9.5,23.5318,false,23.0591,true,3.6505,1.0,000110011011001100000
16,9.3033,24.5784,false,18.9891,true,2.5704,0.88,000110011011001100000
17,8.8964,18.0,false,86.0744,true,6.0,0.8,000011011001101100000
18,9.396,18.0497,false,12.2335,true,3.3176,0.98,000110011011001100000
19,8.8488,25.0409,false,37.2622,true,5.3568,1.0,000110011011001100000
20,9.4937,18.0,false,64.4697,true,1.7838,1.0,000011001101100110000
21,9.0425,22.12,false,82.6911,true,5.0457,0.89,000011011001101100000
22,8.9159,25.9266,false,42.791,true,0.5396,0.99,000011011001101100000
23,9.4328,25.9573,false,71.4382,true,2.1567,0.86,000011001101100110000
24,9.4145,24.9024,false,72.8219,true,4.1836,0.88,000011001101100110000
25,9.4016,18.0,false,23.8781,true,4.922,0.95,000110011011001100000
26,9.209,27.448,false,96.0864,true,0.857,0.86,000011001101100110000
27,9.4952,23.7625,false,37.0392,true,5.0228,1.0,000110011011001100000
28,8.8905,18.0,false,84.9581,true,5.7143,0.8,000011011001101100000
29,8.5577,21.1219,false,72.8856,true,4.0232,0.86,000011001101100110000
30,9.5,23.442,false,64.0596,true,2.3778,0.97,000011001101100110000
31,9.1349,18.0,false,70.941,true,3.1428,0.99,000011001101100110000
32,9.5,25.2628,false,48.8385,true,1.3098,0.97,000011011001101100000
33,9.3591,25.5838,false,40.7545,true,1.7323,0.88,000011011001101100000
34,9.3937,18.0,false,51.853,true,1.473,0.99,000011011001101100000
35,9.3768,23.8638,false,33.4003,true,3.7688,0.91,000011011001101100000
36,9.1756,23.7384,false,94.2543,true,0.6049,0.89,000011001101100110000
37,8.905,25.6101,false,18.2118,true,3.8394,0.89,000110011011001100000
38,9.5,21.9272,false,63.2154,true,2.6927,0.88,000011001101100110000
39,8.5,22.8814,false,78.3438,true,4.6045,0.97,000011011001101100000
40,8.5477,24.7413,false,68.0248,true,2.597,0.89,000011001101100110000
41,9.3162,20.571,false,28.4181,true,3.8611,1.0,000110011011001100000
42,9.4252,22.1656,false,21.2819,true,4.8108,1.0,000110011011001100000
43,9.5,20.1658,false,40.5845,true,4.7281,0.88,000011011001101100000
44,8.7251,28.0,false,16.7957,true,3.3254,0.8,000110011011001100000
45,9.3833,18.8701,false,22.5705,true,3.2062,0.99,000110011011001100000
46,9.4242,18.2599,false,58.5132,true,2.0539,1.0,000011011001101100000
47,8.8527,21.991,false,25.0371,true,4.471,0.84,000110011011001100000
48,9.273,25.0048,false,6.025,true,2.0301,1.0,000110011011001100000
49,8.757,24.2094,false,61.2106,true,2.6019,0.89,000011001101100110000
