xShift,crossingAngle,axialRotation,zShift,energy
8.9,22.0,-103.333,3.35,-2.032698
9.1,20.0,-110.0,3.0,-4.666029
9.3,24.0,-106.667,3.85,-4.05079
9.3,24.0,-98.3333,3.275,-0.781894
9.5,20.0,-93.3333,1.85,4.010908
9.1,28.0,-46.6667,1.6,7.154073
9.5,22.0,-115.0,5.775,0.83938
8.7,26.0,-56.6667,1.75,1.590685
8.5,20.0,-51.6667,5.725,-10.171672
9.3,24.0,-110.0,7.05,-2.006583
9.3,22.0,-55.0,0.825,-4.967083
9.5,28.0,-43.3333,1.1,-0.143927
9.3,28.0,-96.6667,2.35,4.405455
9.1,18.0,-6.66667,1.0,-7.889673
9.5,24.0,-55.0,2.175,-4.518941
9.1,26.0,-106.667,6.55,-4.616412
9.5,18.0,-18.3333,2.075,-2.870152
9.5,22.0,-65.0,3.675,-3.619555
9.5,20.0,-103.333,6.05,-2.161061
9.5,24.0,-6.66667,1.0,-5.164604
8.9,26.0,-13.3333,2.0,-0.479683
9.3,24.0,-60.0,4.95,-4.666173
9.5,28.0,-51.6667,4.375,-4.139949
9.5,24.0,-115.0,4.425,-2.618964
9.1,26.0,-108.333,3.425,-5.693522
8.9,18.0,-101.667,3.775,1.660205
8.7,28.0,-60.0,0.9,-5.538232
9.1,24.0,-53.3333,3.95,-6.069208
9.3,18.0,-51.6667,3.025,-5.447992
9.5,20.0,-43.3333,1.1,1.013392
9.5,28.0,-106.667,6.55,-3.01838
9.5,26.0,-5.0,0.075,-4.641623
9.5,20.0,-48.3333,2.525,-4.031651
9.1,18.0,-108.333,3.425,-4.632449
9.5,26.0,-86.6667,3.55,7.427729
8.7,26.0,-55.0,4.875,-8.019052
8.5,26.0,-65.0,2.325,1.303258
9.3,22.0,-5.0,0.075,-5.158693
8.5,22.0,-63.3333,1.4,-10.986536
8.7,24.0,-100.0,5.55,-2.758843
9.5,24.0,-55.0,6.225,-4.359596
9.3,24.0,-43.3333,1.1,8.333623
8.9,28.0,-8.33333,0.575,-6.27284
8.9,26.0,-55.0,6.225,-5.497565
9.3,20.0,-68.3333,1.475,-5.067762
