,xShift,crossingAngle,negCross,axialRotation,negRot,zShift,density,interface
0,6.5,38.5763,true,37.8175,true,2.2381,1.0,000110011001100110000
1,7.4024,43.2846,true,71.5172,true,5.804,0.95,000110011001100110000
2,7.5,45.0,true,37.6889,true,5.5987,0.98,000110011001100110000
3,7.2601,35.6741,true,54.9422,true,1.6102,1.0,000110011001100110000
4,6.7532,43.432,true,50.1731,true,3.7087,1.0,000110011001100110000
5,7.5,43.6748,true,29.6425,true,5.2347,1.0,000110011001100110000
6,6.6906,36.0126,true,54.9816,true,4.8735,1.0,000110011001100110000
7,7.5,41.9629,true,21.641,true,4.8507,1.0,000110011001100110000
8,7.1503,44.3262,true,58.2835,true,1.8041,1.0,000110011001100110000
9,6.6627,43.5158,true,69.7105,true,2.2398,0.96,000110011001100110000
10,7.3252,42.6491,true,71.3528,true,1.4589,1.0,000110011001100110000
11,6.947,42.5069,true,39.6038,true,4.7131,1.0,000110011001100110000
12,7.3882,37.1005,true,20.7598,true,0.4847,0.98,000110011001100110000
13,7.243,35.0,true,53.1401,true,0.8407,1.0,000110011001100110000
14,7.4523,37.2133,true,27.5828,true,0.0342,0.98,000110011001100110000
15,7.3379,43.7456,true,60.2919,true,3.3962,1.0,000110011001100110000
16,6.5,42.0165,true,43.6556,true,4.2999,1.0,000110011001100110000
17,7.2996,43.1266,true,65.8275,true,1.2923,1.0,000110011001100110000
18,7.4859,35.0,true,30.0862,true,4.7054,1.0,000110011001100110000
19,6.5358,43.8976,true,41.688,true,1.9736,1.0,000110011001100110000
20,6.5119,44.4553,true,59.5863,true,1.7952,1.0,000110011001100110000
21,6.5078,35.7865,true,41.8206,true,1.1677,0.99,000110011001100110000
22,6.5,38.8521,true,42.6414,true,2.562,1.0,000110011001100110000
23,7.2633,42.7889,true,35.4667,true,4.113,1.0,000110011001100110000
24,7.2153,38.9973,true,49.5974,true,0.9243,1.0,000110011001100110000
25,6.6177,35.9055,true,59.3341,true,1.5519,0.98,000110011001100110000
26,7.5,35.0,true,68.224,true,0.1865,0.98,000110011001100110000
27,6.9097,35.0,true,45.4388,true,3.6976,1.0,000110011001100110000
28,6.5242,39.3603,true,38.4842,true,3.0465,0.96,000110011001100110000
29,7.3112,41.9983,true,19.0248,true,4.4842,0.99,000110011001100110000
30,7.0327,45.0,true,31.4228,true,2.0285,0.92,000110011001100110000
31,7.0422,39.6851,true,44.2939,true,5.05,1.0,000110011001100110000
32,7.5,37.6036,true,56.0791,true,1.2188,1.0,000110011001100110000
