"","Distance","Angle","Z1","Z2","Rot1","Rot2"
"92",10.4054,34.4454,5.51484,1.54141,18.0688,43.8651
"93",10.4003,34.4187,1.56831,5.60207,43.804,17.5462
"94",8.65659,-36.4204,2.47864,2.19572,35.0239,51.2993
"95",11.0907,-44.4368,2.00502,5.72524,3.88659,7.46515
"96",8.99169,23.8243,4.67571,1.61013,79.8791,67.5664
"97",6.64201,68.3094,2.30451,5.72531,37.5782,76.1035
"98",10.4086,6.84411,5.43646,0.323083,4.47467,33.834
"99",9.44522,35.0453,3.75163,3.29021,5.82618,76.703
"100",6.65716,-35.2184,4.19764,2.56551,31.6002,64.7774
"101",10.4077,6.84246,0.238778,5.35198,34.4355,5.07783
"102",8.491,-48.3619,5.50422,3.85076,46.02,56.9836
"103",10.0691,23.7572,2.97646,2.5949,77.4814,4.98351
"104",9.13049,-52.7617,3.98571,4.00505,30.2778,58.3026
"105",9.62913,-55.301,4.67871,3.27621,40.4652,60.7842
"106",10.591,18.9835,2.24536,4.02132,72.6193,9.776
"107",9.48917,30.6606,1.9422,0.731597,41.695,64.9777
"108",10.6361,-41.3477,5.03953,1.54831,34.1333,92.3753
"109",9.64209,5.97774,1.04721,3.76019,18.7548,18.3533
"110",10.7039,-16.0041,2.06253,4.4257,11.9702,89.6228
"111",11.5546,-40.6814,5.99357,3.69768,88.5431,46.1316
"112",8.70737,-68.0084,0.698807,0.253386,24.059,86.5213
"113",9.63077,33.8597,0.226128,0.960053,64.477,63.6807
"114",9.00278,76.6318,0.927985,4.75334,25.7616,23.8121
"115",11.5726,24.3723,0.989293,3.19277,51.2479,40.0932
"116",9.20439,27.7855,3.1342,3.5401,91.5777,91.0828
"117",9.84509,-18.7667,0.0480262,3.18936,93.4363,7.96755
"118",10.5937,-45.898,0.474859,0.485721,54.531,36.5054
"119",7.4585,-36.4333,1.76461,5.67951,29.1843,74.8952
"120",10.3577,40.3236,1.27794,2.61167,34.2934,50.8131
"121",9.50222,-65.3842,4.38585,2.09455,69.8116,15.414
"122",7.32638,-45.1799,2.85032,5.98605,17.4434,87.0358
"123",9.07827,-45.6685,5.27866,0.666912,51.1435,52.8567
"124",9.17802,-44.2821,3.4269,3.19949,62.9026,36.7994
"125",7.89993,84.8363,0.162881,5.63127,74.3919,65.1797
"126",9.66864,58.6395,2.07956,2.97376,0.676149,94.5536
"127",7.35719,-39.9617,5.35124,3.77394,27.5679,64.5798
"128",7.42091,-40.8254,4.74294,2.89953,29.7535,68.8671
"129",6.87014,-33.3122,4.95748,4.81236,41.5108,53.8824
"130",9.07561,-53.7075,1.25408,3.71544,88.398,20.8656
"131",10.3899,-42.8289,5.08593,3.25562,12.5313,97.6105
"132",11.1862,20.5534,0.683613,3.07304,51.7656,31.1485
"133",7.69213,-86.3236,4.07659,2.18651,67.0312,96.9862
"134",9.58027,-37.6418,1.09666,5.06102,37.6612,60.4422
"135",7.31729,-43.8254,0.219655,1.14,63.7688,32.0087
"136",8.0779,-38.4419,3.21251,3.52619,19.6633,23.3672
"137",7.61822,-45.0273,1.49485,0.760525,73.4125,58.2971
"138",7.17486,-36.8669,3.63024,5.73716,73.5346,23.1927
"139",8.32514,-31.6859,1.02182,1.08938,32.0903,41.4557
"140",8.25342,-58.1007,3.7906,2.14984,14.3064,91.8799
"141",10.6849,-56.0467,2.07007,5.77914,41.5313,78.1285
"142",8.71571,-53.4432,0.363989,3.12553,53.6541,65.6733
"143",10.1413,-55.8717,1.068,3.00441,54.2093,39.6412
"144",7.79155,-37.4378,5.17655,3.98858,17.127,77.5765
"145",7.56989,-39.1491,3.64739,2.76567,26.764,83.7095
"146",9.60871,-70.8597,2.73439,0.729701,55.1862,55.1192
"147",8.78466,78.6535,2.2245,1.81375,11.513,2.04698
"148",11.3573,30.4543,2.62559,1.62421,36.7113,51.3919
"149",11.3571,30.4366,1.63295,2.63456,51.3233,36.6368
"150",9.57547,50.1936,0.689449,0.807188,56.7417,52.1807
"151",6.28578,-30.8384,2.02956,1.15658,42.0088,67.1335
"152",10.5112,25.8419,3.92356,4.45245,54.6288,13.2424
"153",10.1403,-48.8603,2.13502,3.41262,54.614,51.6363
"154",10.1962,-50.9535,3.16634,1.98705,50.8076,55.534
"155",6.53313,-43.2674,1.85728,1.53443,49.1876,49.7938
"156",9.14502,-43.5707,3.19871,2.12567,81.837,29.2339
"157",9.79809,-56.4106,5.9739,4.36593,21.732,94.968
"158",8.83747,-52.0366,1.26849,5.10505,20.5769,99.8071
"159",10.9076,-10.4599,3.19473,3.05322,65.7263,62.6052
"160",7.21259,-27.9184,4.0674,3.45794,28.5041,48.172
"161",6.93174,-26.1399,4.42338,3.60238,25.2697,42.1098
"162",8.19025,-40.57,1.89742,3.16593,87.9654,12.7043
"163",11.5116,34.7625,1.00246,4.49986,69.3487,13.4962
"164",8.38689,-46.3977,4.92297,1.63679,15.5693,8.32093
"165",9.47163,21.1006,3.06007,4.19533,11.3349,80.1645
"166",7.15776,-36.2636,3.69839,1.8911,17.9866,81.2221
"167",10.7153,-21.0389,5.48107,0.248051,70.3384,92.6821
"168",9.39899,-37.0033,3.58514,2.92214,34.6334,77.6292
"169",6.85388,-5.85354,4.40611,1.24906,21.0376,80.2242
"170",7.08865,-34.8184,2.65789,1.96987,37.4412,60.2246
"171",9.7899,-79.1201,5.8421,4.49547,33.8643,89.2982
"172",9.45335,-79.3607,4.46896,5.86392,88.9356,32.3155
"173",10.3744,-50.2556,5.73697,0.692019,29.2988,85.8061
"174",10.626,-41.9854,4.47059,0.130694,37.5297,92.1526
"175",10.4335,-53.6111,0.265876,1.79316,28.2613,79.6143
"176",8.86368,11.8235,1.49284,1.22027,1.89314,98.1861
"177",8.07089,29.3158,0.796797,1.61952,0.31848,9.53417
"178",7.57234,-41.7549,0.773804,1.91444,75.8424,36.9111
"179",8.78102,-56.3918,1.22147,1.17913,27.6069,16.2335
"180",9.88438,-75.1705,5.19793,5.21115,25.0529,26.6489
"181",8.5725,-54.6625,3.35131,1.14537,84.7276,32.5917
"182",7.47754,-40.4154,5.06005,1.0622,78.2588,31.6663
