Sample Name,Day,Standard Deviation,Absorbance-SD
1G2,2024-4-11_toxgreen,7.016398807707973,1317.7732480716602
1G2,2024-4-13_toxgreen,3.3859914952802304,814.7711335092819
1G2,2024-4-18_toxgreen,1.08214045072132,218.2208361576257
1G2,2024-4-23_toxgreen,5.941455079493298,1313.4180598727885
1G2,2024-4-26_toxgreen,5.449761525378757,1242.872613477879
1G2,2024-4-27_toxgreen,6.1293860399337765,1343.4184009458854
1G2,2024-4-29_toxgreen,8.154791813414384,1492.8433720030152
2F12,2024-4-11_toxgreen,6.2487713329333,1173.6025732759792
2F12,2024-4-13_toxgreen,1.6768281037461354,403.49514660443333
2F12,2024-4-18_toxgreen,3.666415623294259,739.3571532081096
2F12,2024-4-23_toxgreen,4.766185607084503,1053.6129903021
2F12,2024-4-26_toxgreen,7.12098753771252,1624.0124178507176
2F12,2024-4-27_toxgreen,8.743979500856318,1916.4762803993513
2F12,2024-4-29_toxgreen,17.016513761434577,3115.099730880752
2H11,2024-4-11_toxgreen,13.624773317150911,2558.9140926051687
2H11,2024-4-18_toxgreen,9.597700775768677,1935.4403461055913
2H11,2024-4-23_toxgreen,9.365394310827865,2070.314066351609
2H11,2024-4-26_toxgreen,9.776827779955372,2229.703343496619
2H11,2024-4-27_toxgreen,12.238511668494624,2682.396192461758
2H11,2024-4-29_toxgreen,16.359372262782994,2994.801217665929
G2,2024-4-11_toxgreen,8.026180642855964,1507.4237404702546
G3,2024-4-11_toxgreen,12.099224720540542,2272.395725513788
G83I,2024-4-11_toxgreen,7.98960438170535,1500.5542309426874
G83I,2024-4-13_toxgreen,8.792969093608205,2115.8521529949426
G83I,2024-4-18_toxgreen,2.434070520736333,490.84654764328667
G83I,2024-4-23_toxgreen,6.892141600749975,1523.5768222617899
G83I,2024-4-26_toxgreen,0.9559726050690521,218.0191123120479
G83I,2024-4-27_toxgreen,3.031025146916195,664.3299882839351
G83I,2024-4-29_toxgreen,15.40868965090925,2820.7660897942837
Gpa,2024-4-11_toxgreen,6.662071909179999,1251.2259321694603
Gpa,2024-4-13_toxgreen,17.30711626327604,4164.611386432112
Gpa,2024-4-18_toxgreen,12.707861007647315,2562.624891265465
Gpa,2024-4-23_toxgreen,11.105607070367821,2455.0054989755113
Gpa,2024-4-26_toxgreen,23.600178793914235,5382.25677574008
Gpa,2024-4-27_toxgreen,20.77941739025715,4554.363438871928
Gpa,2024-4-29_toxgreen,9.997970580194421,1830.2618209789912
L4,2024-4-11_toxgreen,11.125016734697645,2089.42647633268
L4,2024-4-18_toxgreen,5.483498531705849,1105.7840355753617
L4,2024-4-29_toxgreen,6.988218923406018,1279.2866501817855
L8,2024-4-11_toxgreen,14.469903922576245,2717.6408887121197
L8,2024-4-13_toxgreen,12.427802567218484,2990.5021317497835
L8,2024-4-18_toxgreen,12.579734882956297,2536.787404047358
L8,2024-4-29_toxgreen,26.467147370689887,4845.164221503058
LC2,2024-4-11_toxgreen,8.34994135472585,1568.2303189689114
LC2,2024-4-18_toxgreen,3.735785698484531,753.3460913373966
LC3,2024-4-13_toxgreen,3.194794952276919,768.763509366394
LC3,2024-4-23_toxgreen,5.556005711324477,1228.2106225453895
LC3,2024-4-26_toxgreen,10.941866051157662,2495.4019716270163
LC4,2024-4-11_toxgreen,11.126499732559836,2089.705003104505
LC4,2024-4-18_toxgreen,3.9127960140161098,789.0414015331093
LC4,2024-4-29_toxgreen,26.50049720201438,4851.269352791425
LC9,2024-4-11_toxgreen,19.85491557850594,3729.0178778511286
LC9,2024-4-18_toxgreen,6.415482692504281,1293.7248548281045
LC9,2024-4-29_toxgreen,16.68721696343467,3054.817561382895
LD21,2024-4-11_toxgreen,4.77062398688819,895.9867930574277
LD21,2024-4-18_toxgreen,1.1831268383947857,238.58541447456506
LD23,2024-4-11_toxgreen,13.61733853759377,2557.5177418739445
LD23,2024-4-18_toxgreen,1.239992038218157,250.05266112027965
LD23,2024-4-29_toxgreen,13.825859727157797,2531.0079678525976
LD50,2024-4-13_toxgreen,9.572027411561498,2303.3169560440438
LD50,2024-4-23_toxgreen,4.96955637056325,1098.5701312767123
LD50,2024-4-26_toxgreen,4.959506850057856,1131.0651322241943
LD8,2024-4-26_toxgreen,6.744827133602119,1538.2252760892989
LD8,2024-4-27_toxgreen,0.8832276166185908,193.58288491840707
LD9,2024-4-11_toxgreen,16.556095157734884,3109.4554185580473
LD9,2024-4-18_toxgreen,3.2428832650256263,653.9490296141843
LD9,2024-4-29_toxgreen,34.021526011150854,6228.09395668798
LWT11,2024-4-13_toxgreen,8.968539684225187,2158.0997042151075
LWT11,2024-4-23_toxgreen,59.72666755754926,13203.177130271839
LWT11,2024-4-26_toxgreen,6.046902400976226,1379.0565615666385
LWT12,2024-4-26_toxgreen,5.5236721673699805,1259.7286744903975
LWT12,2024-4-27_toxgreen,3.995391015056041,875.6964847099325
LWT3,2024-4-11_toxgreen,6.168708129587947,1158.5656361783451
LWT3,2024-4-18_toxgreen,3.2876691002871663,662.9803918669088
M17,2024-4-26_toxgreen,10.549954927949043,2406.022720868058
M17,2024-4-27_toxgreen,17.479624612495126,3831.1258571513067
M18,2024-4-26_toxgreen,2.460642229567981,561.1740668752727
M18,2024-4-27_toxgreen,4.5652046056134665,1000.5863281096739
M27,2024-4-26_toxgreen,7.295901703697591,1663.903342545273
M27,2024-4-27_toxgreen,5.785734123725997,1268.0979194578524
M27,2024-4-29_toxgreen,15.81586828719243,2895.3055682144045
M37,2024-4-26_toxgreen,3.638942306352143,829.8971823866698
M37,2024-4-27_toxgreen,4.071935069998297,892.4731555253265
M39,2024-4-26_toxgreen,4.085411824047283,931.719020592224
M39,2024-4-27_toxgreen,1.47094940498548,322.39778742003364
M40,2024-4-26_toxgreen,4.578700901412633,1044.2185275761644
M40,2024-4-27_toxgreen,8.461041239034527,1854.4628153007902
NoTM,2024-4-11_toxgreen,0.0,0.0
NoTM,2024-4-13_toxgreen,0.0,0.0
NoTM,2024-4-18_toxgreen,0.0,0.0
NoTM,2024-4-23_toxgreen,0.0,0.0
NoTM,2024-4-26_toxgreen,0.0,0.0
NoTM,2024-4-27_toxgreen,0.0,0.0
NoTM,2024-4-29_toxgreen,0.0,0.0
RC1,2024-4-13_toxgreen,6.149703445375228,1479.8031400606412
RC1,2024-4-18_toxgreen,1.3566289337057322,273.5732686746519
RC1,2024-4-29_toxgreen,11.055224866676713,2023.8063148433944
RC11,2024-4-11_toxgreen,6.4378401005101304,1209.1122087438096
RC11,2024-4-18_toxgreen,3.8712405821413154,780.6614716593442
RC11,2024-4-26_toxgreen,3.9948548235254684,911.0665910532188
RC11,2024-4-27_toxgreen,3.1930177203275294,699.8349805489863
RC2,2024-4-13_toxgreen,1.5691824494216198,377.59237280432455
RC2,2024-4-23_toxgreen,6.929141246844035,1531.7559640273428
RC2,2024-4-29_toxgreen,18.067191496302726,3307.440299284831
