Sample Name,2024-4-11_toxgreen,2024-4-13_toxgreen,2024-4-18_toxgreen,2024-4-23_toxgreen,2024-4-26_toxgreen,2024-4-27_toxgreen,2024-4-29_toxgreen
1G2,12.76622178049127,17.83235673024976,20.67705836653057,21.229530444223286,23.005641790172177,22.465895092239133,25.74883009523116
2F12,33.30966917506745,34.219894997852855,35.729044415425555,35.24533309207153,35.5447396883861,34.587015041138805,42.97055663795772
2H11,131.42481896918926,,139.5870869629899,148.19807593715132,120.12628255722178,128.6009763813058,41.25712412826163
G2,-12.89755785886696,,,,,,
G3,2.584126082635241,,,,,,
G83I,10.366676132329975,13.486819321503276,20.0803345620444,14.85720317259266,16.09956444210588,18.348972670448493,19.006172727107195
Gpa,100.0,100.0,100.0,100.0,100.0,100.0,100.0
L4,51.22639500212978,,60.39307734267815,,,,63.041934485332945
L8,69.25493397699844,56.26896064497361,68.91250805825082,,,,62.64134452557403
LC2,45.717378957830476,,55.29034497578393,,,,
LC3,,51.54109351840308,,52.403570674628305,56.4412873805139,,
LC4,52.73853471532018,,50.93145114633783,,,,51.33014075274496
LC9,36.52207865966208,,56.35320759707093,,,,55.90232888435697
LD21,81.10890245633964,,84.70337372101095,,,,
LD23,52.39777083629136,,51.75959138469676,,,,66.48882900271309
LD50,,38.702572414079704,,50.77203775747157,51.57707036160074,,
LD8,,,,,42.78698588090853,72.90161665627424,
LD9,47.15320176061338,,58.0260178190654,,,,56.75995557093174
LWT11,,49.47291138539112,,79.0072076962514,51.83723581513636,,
LWT12,,,,,48.68163348826332,52.78086170973188,
LWT3,76.34530739741588,,73.11932823115195,,,,
M17,,,,,33.10824636791488,35.04783051723876,
M18,,,,,42.385044871232715,48.417562696759084,
M27,,,,,71.44757227630156,74.41789728225326,72.35018845936743
M37,,,,,49.2604285421965,55.3054613477712,
M39,,,,,60.49431436171767,70.60818517786261,
M40,,,,,23.16787979771405,59.76153179322616,
NoTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RC1,,38.47123522974414,36.36048068499264,,,,37.243941076858654
RC11,37.21603010080932,,60.069094335256295,,37.72837557367944,44.302161118123884,
RC2,,40.032414910858996,,47.31596248379022,,,42.01096159798977
RC6,,,,,20.92724136923032,60.395723389046886,62.16609916422368
RC7,,,,,42.554590897132336,63.580368956549506,
RC8,49.11081925315917,,72.18539762302262,57.970686691396,,,
RD17,21.555090160442997,,48.14288311817114,33.57610301878827,,,
RD2,37.77154621610109,,43.770765492503756,,24.391242070800086,37.726035313978066,
RD3,,,,,64.26963664532725,80.0891214089091,75.35461315755931
RD36,,,,,60.05875646759625,55.199002326890025,
RD39,,47.38949147377025,,47.11088995446183,,,44.16686392687413
RD52,,35.75059912174985,62.96841165677637,,,,66.37775633205267
RD53,,,,,45.42371890438189,61.104436299484426,56.83096924561628
RWT3,80.2197217094988,,81.11146007240028,,47.99175655529246,68.37710826882424,
RWT30,,,,,64.64965359992983,64.07464298206925,
RWT33,,,,,25.303282761846294,58.47489848371938,
RWT34,61.30377679965923,,66.01980263484138,52.773002804668415,,,
RWT38,,,,,55.340699815837944,54.149620549632715,
RWT39,,55.02638906204546,,62.64513405108719,,,62.841639505453486
RWT40,,48.56695618446023,56.987949815693334,,,,63.67559496713343
YF3,,,,,39.88570259288491,58.00495794868675,
YF6,,,,,47.721359876056006,52.57706872690219,
YF7,,,,,10.368616445964513,52.72915304244673,49.66405069283854
YF9,,59.55062405629667,,54.645797521035014,,,55.21950508931335
