Sample Name,2024-4-11_toxgreen-1,2024-4-11_toxgreen-2,2024-4-11_toxgreen-3,2024-4-13_toxgreen-1,2024-4-13_toxgreen-2,2024-4-13_toxgreen-3,2024-4-18_toxgreen-1,2024-4-18_toxgreen-2,2024-4-18_toxgreen-3,2024-4-23_toxgreen-1,2024-4-23_toxgreen-2,2024-4-23_toxgreen-3,2024-4-26_toxgreen-1,2024-4-26_toxgreen-2,2024-4-26_toxgreen-3,2024-4-27_toxgreen-1,2024-4-27_toxgreen-2,2024-4-27_toxgreen-3,2024-4-29_toxgreen-1,2024-4-29_toxgreen-2,2024-4-29_toxgreen-3
1G2,8.199630839131054,9.253869089876474,20.84516541246628,14.582554128745375,21.339816315505132,17.574699746498773,19.498487528307187,21.625865745408863,20.906821825875664,24.24228716185651,25.061069392924995,14.385234777888357,16.73682364290099,25.66429886871876,26.61580285889678,15.585600657004242,27.343239091752462,24.4688455279607,18.873249695005374,23.6147781277882,34.75846246289991
2F12,26.691395712054522,34.12963225898055,39.10797955416726,32.93853634210198,36.117691060964965,33.60345759049162,35.09430219680315,32.42144238557284,39.671388663900686,33.090563647878405,31.937030670406223,40.70840495792997,34.52600192931685,28.987985617819874,43.120231518021576,41.008014843429194,24.628534059282465,38.124496220704756,29.84759372894627,36.86702234199458,62.19705384293233
2H11,116.27502484736618,135.32585545932133,142.67357660088032,,,,132.19498487528307,136.13237020017522,150.43390581351142,156.59549443589975,138.09825386772823,149.90047950782593,129.2598439007279,109.8132070507761,121.30579672016135,124.57074201937553,118.88583030432072,142.34635682022113,29.96230812651359,33.79158396911816,60.01748028915313
G2,-21.51071986369445,-11.55402527332103,-5.627928439585404,,,,,,,,,,,,,,,,,,
G3,-5.537413034218373,-3.1999858015050404,16.489777083629136,,,,,,,,,,,,,,,,,,
G83I,1.6825216527048135,12.01192673576601,17.4055800085191,23.37198188089598,10.55146906038316,6.537007023230686,21.38783741342546,17.271930839545764,21.581235433161975,9.997285804758889,11.829367592508822,22.744956120510267,15.136367622555468,16.114180478821364,17.048145224940807,18.770246224506863,15.129347710370627,21.147324076467992,8.521640962144248,11.799195178353576,36.69768204082376
Gpa,99.09307113445975,107.06907567797815,93.83785318756213,113.73062377924614,105.71001122054606,80.55936500020778,112.91964890821032,99.56526769922475,87.51508339256492,87.36089749389306,108.19686962815524,104.4422328779517,73.56835920371832,107.47171796895555,118.95992282732615,89.69020424923578,123.91830030568947,86.39149544507474,92.17028715016662,111.26204045958595,96.56767239024747
L4,38.45839840976857,58.83501348857022,56.38577310805055,,,,57.88055606063111,66.68264542043407,56.61603054696926,,,,,,,,,,57.52107649447369,60.70576667455708,70.89896028696808
L8,52.54685503336647,77.5184580434474,77.69948885418147,53.480447159539544,69.85413290113452,45.47230187424677,55.23249086731573,71.52255483742995,79.98247847000677,,,,,,,,,,32.08179318632896,78.22975655055629,77.61248383983686
LC2,42.77651568933693,39.23576600880307,55.139855175351414,,,,59.58146684959584,52.76294692298792,53.52662115476801,,,,,,,,,,,,
LC3,,,,51.95112828824337,48.16107717242239,54.51107509454349,,,,46.26345788473717,53.86320455984801,57.08404957929973,49.026571954748746,51.28913443830571,69.00815574848724,,,,,,
LC4,42.04174357518104,51.9238960670169,64.2499645037626,,,,47.367638064697424,55.118435624907015,50.30827974940906,,,,,,,,,,38.724303064513194,33.485678908938624,81.78044028478305
LC9,16.70275450802215,36.45108618486441,56.41239528609968,,,,62.88906887944856,56.10526141792155,50.06529249384266,,,,,,,,,,40.06263770279867,54.31999854330925,73.32435040696299
