Sample Name,Replicate,Wavelength,Absorbance,Percent GpA,Standard Deviation
1G2,2.0,512.0,4287.0,19.9049453417867,5.78597081568228
2F12,2.0,512.0,7528.944444444444,35.58623579153711,7.71935051004079
2H11,2.0,512.0,28235.0,136.75503770611442,27.58458535736914
G2,2.0,512.0,-2422.3333333333335,-12.83209457128128,8.051440728160669
G3,2.0,512.0,485.3333333333333,2.9986078829266325,12.688212955299884
G83I,2.0,512.0,3369.8888888888887,15.707173685736779,6.192995958608849
Gpa,2.0,512.0,21639.944444444445,100.0,0.0
L4,2.0,512.0,10899.833333333334,56.12904679443968,10.311894756108506
L8,2.0,512.0,13481.222222222223,65.54679830891817,15.459169413186324
LC2,2.0,512.0,9868.0,50.91577133794572,9.35898454748659
LC3,2.0,512.0,12286.222222222223,54.29707133751306,8.374097463560227
LC4,2.0,512.0,10087.833333333334,52.36396870481126,10.166431816985368
LC9,2.0,512.0,9111.666666666666,46.71141031595048,17.408528370444422
LD21,2.0,512.0,16157.166666666666,83.59872980575342,9.855446626213237
LD23,2.0,512.0,10139.333333333334,52.31480750543125,8.999610906871789
LD50,2.0,512.0,10766.444444444445,47.51136912780293,9.288032657930692
LD8,2.0,512.0,12868.166666666666,59.96392000660948,21.320375339972536
LD9,2.0,512.0,10278.666666666666,53.33777955463409,15.12608900239914
LWT11,2.0,512.0,13730.666666666666,62.86842673694045,41.18909227941261
LWT12,2.0,512.0,11335.333333333334,52.637212875742954,12.360064571262127
LWT3,2.0,512.0,14541.833333333334,75.25693510888782,8.506602143221173
M17,2.0,512.0,7616.166666666667,35.077232012462844,15.452718421139249
M18,2.0,512.0,10139.166666666666,47.06973298295612,11.042377153415597
M27,2.0,512.0,16302.5,74.8555078343294,12.827318746528487
M37,2.0,512.0,11678.0,54.10628433547558,11.880407982843684
M39,2.0,512.0,14636.0,67.34937363081418,12.203089138451933
M40,2.0,512.0,9191.0,42.864068197303105,24.628547899310448
NoTM,2.0,512.0,0.0,0.0,0.0
RC1,2.0,512.0,8294.833333333334,38.351816711333576,9.381686307042624
RC11,2.0,512.0,9354.333333333334,45.765326898943925,12.696171439293847
RC2,2.0,512.0,10046.333333333334,44.17768726384407,7.075657584737602
RC6,2.0,512.0,9005.0,42.20074657485055,27.568867108217617
RC7,2.0,512.0,11820.166666666666,55.48920474246237,18.859743652762525
RC8,2.0,512.0,12198.444444444445,60.31948689824565,13.103925052192237
RD17,2.0,512.0,7059.666666666667,34.749793252092246,22.495813491933614
RD2,2.0,512.0,7438.0,36.38083021476615,10.274311222165283
RD3,2.0,512.0,16105.5,74.90036704462973,22.610588138460983
RD36,2.0,512.0,12897.666666666666,59.04879633041015,10.545749875294735
RD39,2.0,512.0,10908.833333333334,47.63103850021057,5.208640121171407
RD52,2.0,512.0,10650.333333333334,48.680563732913264,22.556482946117374
RD53,2.0,512.0,11876.0,54.1557609223338,11.446600073721418
RWT3,2.0,512.0,14338.666666666666,70.42889212425187,18.172828416405352
RWT30,2.0,512.0,14393.833333333334,66.63107910488732,14.377696224440495
RWT33,2.0,512.0,9293.5,43.23831424865731,21.403107396388073
RWT34,2.0,512.0,12164.333333333334,60.5493422219186,10.11373402963652
RWT38,2.0,512.0,12244.666666666666,56.68749205656152,12.363513626886537
RWT39,2.0,512.0,13544.666666666666,59.71308030472295,8.965575392215413
RWT40,2.0,512.0,11589.333333333334,53.822944452262696,11.333884198043998
YF3,2.0,512.0,10904.833333333334,50.60410182597911,17.523881469290806
YF6,2.0,512.0,11203.5,51.86017349363789,10.983213548097122
YF7,2.0,512.0,6960.833333333333,32.18299590054459,27.237997297234443
YF9,2.0,512.0,13204.833333333334,57.88075315017611,9.126319110417622
