,xShift,crossingAngle,negCross,axialRotation,negRot,zShift,density,interface
0,8.1673,40.0058,true,57.2927,true,3.7473,1.0,000110011001100110000
1,8.8586,37.888,true,80.8654,true,3.6457,1.0,000110011001100110000
2,8.0,38.7427,true,78.9247,true,1.3666,1.0,000110011001100110000
3,8.9311,41.4762,true,70.2779,true,0.8883,1.0,000110011001100110000
4,8.4112,44.4642,true,77.7895,true,4.5674,1.0,000110011001100110000
5,8.0,44.318,true,55.0519,true,5.1364,0.99,000110011001100110000
6,8.6492,44.6109,true,93.4186,true,5.9121,0.97,000110111011101100000
7,8.5736,45.0,true,65.9406,true,0.0529,0.99,000110011001100110000
8,8.5983,41.8785,true,77.7842,true,4.6764,1.0,000110011001100110000
9,8.5881,38.5454,true,51.9263,true,2.8438,1.0,000110011001100110000
10,8.6466,35.8602,true,68.074,true,0.999,0.98,000110011001100110000
11,8.3231,36.598,true,54.9999,true,2.9629,0.91,000110011001100110000
12,9.0,37.1283,true,84.9662,true,1.8864,1.0,000110011001100110000
13,8.739,40.6583,true,58.5943,true,0.7414,0.99,000110011001100110000
14,8.5113,38.9619,true,55.3543,true,2.3853,1.0,000110011001100110000
15,8.669,44.3034,true,77.5471,true,1.502,1.0,000110011001100110000
16,8.3712,37.1079,true,72.6068,true,4.8712,1.0,000110011001100110000
17,8.9135,37.5837,true,90.3853,true,1.4991,0.92,000110111011101100000
18,8.8838,39.7796,true,64.728,true,4.8563,1.0,000110011001100110000
19,8.0,38.326,true,73.7546,true,2.8187,1.0,000110011001100110000
20,8.3442,45.0,true,99.5344,true,2.9262,0.88,000110111011101100000
21,8.5865,35.0,true,60.6133,true,2.9544,1.0,000110011001100110000
22,8.1921,44.3114,true,88.2658,true,4.2518,1.0,000110011001100110000
23,8.5039,39.7711,true,67.1962,true,4.3743,1.0,000110011001100110000
24,8.8936,41.6413,true,73.8934,true,2.6934,1.0,000110011001100110000
25,8.7435,37.2696,true,73.9544,true,2.614,1.0,000110011001100110000
26,8.5994,40.2543,true,68.6993,true,5.4826,0.99,000110011001100110000
27,8.1548,40.8695,true,53.5255,true,2.1256,0.84,000110011001100110000
28,8.0,45.0,true,66.8433,true,2.4586,1.0,000110011001100110000
29,8.7055,45.0,true,69.4946,true,3.6375,1.0,000110011001100110000
30,8.2482,45.0,true,55.5057,true,0.2585,0.98,000110011001100110000
31,8.2394,44.2651,true,50.5782,true,0.4525,0.93,000110011001100110000
32,8.0,37.5584,true,58.7334,true,5.1663,0.98,000110011001100110000
33,8.9817,40.5231,true,65.0195,true,0.6639,1.0,000110011001100110000
34,8.017,42.2777,true,58.4404,true,0.1515,0.99,000110011001100110000
35,8.8906,43.5277,true,68.8669,true,3.7289,1.0,000110011001100110000
36,8.8701,35.575,true,61.5756,true,2.449,1.0,000110011001100110000
37,8.0618,35.0,true,53.2725,true,3.2816,0.92,000110011001100110000
38,8.4219,45.0,true,91.8374,true,4.3667,0.94,000110111011101100000
39,8.0,43.6733,true,87.7796,true,4.6876,1.0,000110011001100110000
40,8.5634,43.024,true,76.3464,true,1.3812,1.0,000110011001100110000
41,8.5069,35.0,true,82.1129,true,3.2867,1.0,000110011001100110000
42,8.4345,40.866,true,92.3445,true,1.5931,1.0,000110111011101100000
43,8.2288,36.5199,true,92.7093,true,4.5073,0.92,000110111011101100000
44,8.0,40.9438,true,60.9624,true,3.2754,1.0,000110011001100110000
45,8.9713,36.5883,true,79.7599,true,2.6801,1.0,000110011001100110000
46,8.2149,37.1984,true,65.2788,true,1.9103,1.0,000110011001100110000
47,8.7938,41.822,true,68.9256,true,2.6868,1.0,000110011001100110000
48,8.5962,35.0,true,85.5586,true,5.4755,0.98,000110011001100110000
49,8.9109,42.9712,true,85.0211,true,0.8853,0.98,000110011001100110000
50,8.334,40.8236,true,80.0788,true,3.4584,1.0,000110011001100110000
51,8.5771,39.8866,true,71.6811,true,0.9845,0.98,000110011001100110000
52,8.0,40.3623,true,50.7764,true,3.7477,1.0,000110011001100110000
53,8.3401,43.9131,true,70.7991,true,2.461,1.0,000110011001100110000
54,8.7178,39.6508,true,78.8438,true,5.49,1.0,000110011001100110000
55,8.1246,40.1977,true,57.207,true,4.9637,1.0,000110011001100110000
56,8.5703,38.5103,true,99.8658,true,5.4578,0.84,000110111011101100000
57,8.4696,39.2118,true,68.0419,true,4.8553,1.0,000110011001100110000
58,9.0,36.0171,true,49.0947,true,2.2619,0.95,000110011001100110000
59,8.5915,40.9506,true,64.603,true,3.2922,1.0,000110011001100110000
60,8.7204,44.0384,true,59.0587,true,3.0075,0.99,000110011001100110000
61,8.1533,43.697,true,62.1114,true,1.5198,1.0,000110011001100110000
62,8.7428,42.1627,true,78.9053,true,5.6345,0.99,000110011001100110000
63,8.0,38.3552,true,79.6504,true,1.701,1.0,000110011001100110000
64,9.0,39.9156,true,98.209,true,0.0971,0.91,000110111011101100000
65,8.0826,36.3752,true,73.7801,true,4.9756,1.0,000110011001100110000
