xShift,crossingAngle,axialRotation,zShift,density
7.370834056355406,-37.62322827306482,45.6022597828912,0.7988500033316207,1.0
7.081997213483092,-38.94244679124449,38.64476258756592,3.8130489214730954,0.97
7.48536694949109,-43.759783397773084,64.61503605626102,5.3454679280140915,1.0
7.10728768614946,-40.492406472501344,60.76560431407736,1.3797332624474752,1.0
7.15285824067561,-41.53536631680274,49.42276094849389,1.8565256290979382,1.0
7.458858435868987,-45.0,37.355568161003085,0.7895878347793541,0.99
7.255671158329387,-43.151788316127835,34.62573586717896,0.0,0.9
7.165129771403661,-35.0,33.11511980254018,1.4765995428058505,0.96
6.858602156840072,-36.54659725457614,59.893977007340645,2.847810124261011,0.93
7.5,-44.54416046568841,22.629271867902776,1.3515996688958234,1.0
7.132073971538281,-45.0,62.414663375969916,4.056451478171242,1.0
7.345152685401097,-40.34705519026779,31.246586890303266,4.823793463093991,1.0
7.090390893428329,-36.1246874535129,68.32736590545956,1.6965359627990662,0.93
6.9115929609747155,-40.39118598648599,31.959613173466632,3.820318711823556,0.97
7.5,-45.0,41.147962142815615,4.127034145491055,1.0
7.23667510697497,-35.24665165261499,46.453146790041096,1.2815095116188466,0.98
7.5,-37.365041337752565,0.680550005504136,5.670864717117463,0.92
7.5,-43.2233670057029,75.0181441583471,5.227317753064417,0.97
7.347995303324165,-38.404661910136625,60.60284669149539,3.16434928197711,1.0
7.2957970918316715,-45.0,74.77923489800551,0.6560116904388286,0.96
6.539616609025404,-42.35579331051438,62.81780369233167,4.21760897638946,1.0
7.015840079695758,-45.0,38.60202199283483,1.2243223709942015,0.99
7.223862214472417,-39.285055071659784,45.0874069536994,3.8470709386073976,1.0
7.064507675529519,-37.78194803779295,55.88727137665593,4.743827178558199,1.0
6.521555852003428,-42.37027787418213,37.57731153795891,2.694676509790128,0.93
7.5,-45.0,54.9956769257833,1.3795776340251131,1.0
7.299624491049043,-45.0,51.708800882233746,1.827309339755722,1.0
6.649752848836673,-37.805219741217364,55.05599828801885,0.9614190811985631,1.0
7.377507436823786,-35.0,51.11894840769835,4.545435490448212,1.0
7.420853364022643,-43.032911261901035,75.10657069759243,0.7240380306445258,0.97
7.483777984008848,-42.5381806391305,68.32761901685618,2.4443300018698375,1.0
6.770093193171439,-39.29768828752667,61.18484983611856,4.743487590378989,0.97
6.5987426277855565,-44.798330192894014,62.28527740658425,0.0,0.84
7.120926575593587,-43.201085351674884,31.234538562801216,0.9898156342688473,0.97
7.5,-35.0,16.975786861249457,0.1425932090580057,0.82
7.382496996552998,-43.13051091431245,73.81993386129186,1.4683610277336991,1.0
6.5,-35.17974506326425,36.54690167643414,0.8896080057000311,0.87
7.5,-37.22368299386298,45.86547549204372,4.726642653625792,1.0
7.485141333821268,-36.17400934146725,8.011122955309272,1.6454220002531241,1.0
7.08033480814731,-41.2583174041389,41.67423206247449,1.0350933305386647,0.94
7.5,-39.154372576887965,43.00014363891804,5.0722367956677346,0.99
7.5,-40.41816415368463,79.92251969359201,0.21035339191327673,0.99
6.844703576375293,-43.50553072312775,62.39918373040165,5.1292967622511085,0.96
7.5,-44.13160998101116,36.969486839933744,1.0049640186844384,1.0
6.725421230435311,-45.0,62.16771752953615,5.083204237980574,0.95
7.0380587916073996,-45.0,58.65017954830309,1.3412075403796526,1.0
7.5,-35.353087955403446,15.646401957955929,4.208102165723151,1.0
7.256449769235664,-44.19048026464425,53.85042715926741,2.873369091518067,1.0
7.367361858178402,-35.73686489500106,35.210291833826695,3.834049667377804,1.0
6.750081115622254,-40.04715965807649,35.635795309832176,3.9226383427154605,1.0
6.911155730592216,-44.455268529919415,43.09057247142192,2.7727676222123216,0.97
7.311324275826322,-37.99045982071867,34.04091012915098,3.965159792564976,1.0
7.408247287611479,-40.69964607200077,7.064178495995751,0.01033879533346116,0.9
7.439236919717008,-45.0,66.62121196291137,5.66162393105996,0.96
7.153706608371103,-44.22725978198602,70.10690165987994,1.1976877951794873,0.98
7.5,-35.0,75.9692166919694,0.954098858225776,0.98
6.598017692530294,-39.32695859343795,61.738288651989805,2.648110157779233,1.0
7.221578630799936,-38.509789287881816,64.40578745114088,2.3376282942863753,1.0
7.359963597710695,-42.35676236291163,52.30203533715961,4.498814991386716,1.0
7.397568120828632,-41.44848702204205,74.61278185628078,3.653063111906123,0.97
6.5,-37.76984360177362,52.49667300660178,2.8992651055791296,0.88
7.071745823642504,-43.0035637787845,62.4201934670242,3.085373120155534,1.0
7.066226563020292,-39.20478377714395,67.77592304482397,1.6308338645944407,0.95
7.1023958692219304,-45.0,56.064589088825045,1.4660293438667091,1.0
6.5,-45.0,49.05041419357379,4.519409514285634,0.96
6.519195858900492,-41.84132092079967,47.214499439801884,4.594929910249535,0.88
7.395602731562014,-44.74295218265323,40.08428689496873,2.850620153726373,1.0
7.5,-42.05945267989741,47.636423638066695,0.7220671334549662,1.0
6.740427988282555,-40.35079791572092,44.174822443107075,1.579577700421132,0.97
7.5,-35.887570527798125,19.72881705867892,5.590592930430486,0.97
6.5,-39.815642689134805,65.63691665910946,6.0,0.83
7.268616597514309,-41.133141080628654,72.95733511974333,2.165623311617705,1.0
7.340456976411864,-41.528629606304335,53.37399423051739,1.1276705962403968,1.0
6.5,-41.42833280538652,37.16351825922495,2.6861812294226746,1.0
6.5,-40.03737778578031,53.15023215687015,3.386848131044725,0.97
7.434189233596769,-40.26629730984576,65.3240043849427,0.7475404302561873,1.0
6.827376577296807,-45.0,58.82693760647669,5.832654055556828,0.97
7.5,-39.205746424452855,9.048641003308772,4.876848824999727,1.0
6.5,-37.39417150894157,38.690046609758184,2.8794288408409923,0.88
7.5,-35.0,3.8673786626553808,4.755496857415512,0.86
7.493829594447171,-35.0,36.77481057034322,3.3425706260585493,1.0
7.5,-42.26073450999186,52.866246909515056,5.840298231656128,0.94
6.771757522037518,-37.86122416647174,59.29310235358491,5.7951007360770515,0.98
7.5,-41.22603162486429,43.31445795413656,0.0,0.82
7.5,-35.0,4.851632539509003,0.778709072948254,0.86
6.5,-45.0,56.058393467693975,1.8643649867519145,0.84
7.274418342191001,-43.575688410259936,41.1552740720554,5.045572164680965,0.99
7.210094256217484,-41.55124115546642,50.986240076088265,2.2565729792052425,0.99
7.045119062529608,-36.611592562592456,57.92736701157325,4.608995863158565,1.0
7.312344409319905,-41.7451577183614,64.49300496686948,1.6505331668504666,1.0
7.10147241559067,-35.0,35.309589866830926,0.6003173625342475,0.83
6.655601871861889,-45.0,52.530543086246645,0.9633681913727965,0.88
7.360370809191398,-43.731540952850665,9.23690168338381,0.4462135130463097,0.89
6.5,-40.022777342902366,40.4522662418917,3.392058812834531,0.92
7.0710961861625865,-45.0,41.52968122893167,3.6913989336448148,0.94
7.482193238381135,-41.97413066188986,72.36099705042508,0.9097830004396741,0.99
6.828252823958673,-40.653024392321605,49.44381408686628,4.8327913149545045,0.93
6.6845154925979795,-37.015276834912854,59.33133765595069,2.8246233039598545,0.97
6.650423340516187,-44.97964292315293,44.45092449191044,5.676382952505122,0.88
7.237410164545055,-39.651003197823144,43.902116068451186,2.0345497004908157,1.0
7.349281548049191,-39.14058736392259,50.0150740049589,4.379199942746954,1.0
6.943908604260392,-41.38496936645993,34.97038525310613,2.3882251394785126,0.95
