,xShift,crossingAngle,negCross,axialRotation,negRot,zShift,density,interface
0,7.3708,37.6232,true,45.6023,true,0.7989,1.0,000110011001100110000
1,7.082,38.9424,true,38.6448,true,3.813,0.97,000110011001100110000
2,7.4854,43.7598,true,64.615,true,5.3455,1.0,000110011001100110000
3,7.1073,40.4924,true,60.7656,true,1.3797,1.0,000110011001100110000
4,7.1529,41.5354,true,49.4228,true,1.8565,1.0,000110011001100110000
5,7.4589,45.0,true,37.3556,true,0.7896,0.99,000110011001100110000
6,7.2557,43.1518,true,34.6257,true,0.0,0.9,000110011001100110000
7,7.1651,35.0,true,33.1151,true,1.4766,0.96,000110011001100110000
8,6.8586,36.5466,true,59.894,true,2.8478,0.93,000110011001100110000
9,7.5,44.5442,true,22.6293,true,1.3516,1.0,000110011001100110000
10,7.1321,45.0,true,62.4147,true,4.0565,1.0,000110011001100110000
11,7.3452,40.3471,true,31.2466,true,4.8238,1.0,000110011001100110000
12,7.0904,36.1247,true,68.3274,true,1.6965,0.93,000110011001100110000
13,6.9116,40.3912,true,31.9596,true,3.8203,0.97,000110011001100110000
14,7.5,45.0,true,41.148,true,4.127,1.0,000110011001100110000
15,7.2367,35.2467,true,46.4531,true,1.2815,0.98,000110011001100110000
16,7.5,37.365,true,0.6806,true,5.6709,0.92,000110011001100110000
17,7.5,43.2234,true,75.0181,true,5.2273,0.97,000110011001100110000
18,7.348,38.4047,true,60.6028,true,3.1643,1.0,000110011001100110000
19,7.2958,45.0,true,74.7792,true,0.656,0.96,000110011001100110000
20,6.5396,42.3558,true,62.8178,true,4.2176,1.0,000110011001100110000
21,7.0158,45.0,true,38.602,true,1.2243,0.99,000110011001100110000
22,7.2239,39.2851,true,45.0874,true,3.8471,1.0,000110011001100110000
23,7.0645,37.7819,true,55.8873,true,4.7438,1.0,000110011001100110000
24,6.5216,42.3703,true,37.5773,true,2.6947,0.93,000110011001100110000
25,7.5,45.0,true,54.9957,true,1.3796,1.0,000110011001100110000
26,7.2996,45.0,true,51.7088,true,1.8273,1.0,000110011001100110000
27,6.6498,37.8052,true,55.056,true,0.9614,1.0,000110011001100110000
28,7.3775,35.0,true,51.1189,true,4.5454,1.0,000110011001100110000
29,7.4209,43.0329,true,75.1066,true,0.724,0.97,000110011001100110000
30,7.4838,42.5382,true,68.3276,true,2.4443,1.0,000110011001100110000
31,6.7701,39.2977,true,61.1848,true,4.7435,0.97,000110011001100110000
32,6.5987,44.7983,true,62.2853,true,0.0,0.84,000110011001100110000
33,7.1209,43.2011,true,31.2345,true,0.9898,0.97,000110011001100110000
34,7.5,35.0,true,16.9758,true,0.1426,0.82,000110011001100110000
35,7.3825,43.1305,true,73.8199,true,1.4684,1.0,000110011001100110000
36,6.5,35.1797,true,36.5469,true,0.8896,0.87,000110011001100110000
37,7.5,37.2237,true,45.8655,true,4.7266,1.0,000110011001100110000
38,7.4851,36.174,true,8.0111,true,1.6454,1.0,000110011001100110000
39,7.0803,41.2583,true,41.6742,true,1.0351,0.94,000110011001100110000
40,7.5,39.1544,true,43.0001,true,5.0722,0.99,000110011001100110000
